Word,Score
hello.bbclondon@bbc.co.uk,4943.493975481245
northwest.newsonline@bbc.co.uk,4906.265104499013
yorkslincs.news@bbc.co.uk,4902.578446701401
south.newsonline@bbc.co.uk,4901.537744931428
newsonline.westmidlands@bbc.co.uk,4898.118891340478
17.4.1,4078.5950292921607
on:londoninvestigationsteam@bbc.co.uk,4034.1132700729136
"2,332.97",3990.012033304245
07.09.23,3887.146712979389
"2,431.29",3625.4759094439596
"985-18,370ft",3530.8341162169727
release.nineteen-year-old,3507.172696232026
hellobbclondon@bbc.co.uk,3341.9902232426
haveyoursay@bbc.co.uk,3324.5785010473146
northeastandcumbria@bbc.co.uk,3323.241885648153
eastofenglandnews@bbc.co.uk,3302.244306581349
southeasttoday@bbc.co.uk,3295.306633125198
spotlight@bbc.co.uk,3293.3938572973702
isleofman@bbc.co.uk,3289.9750037064214
"7,797",3276.5097716327878
"200,000.in",3269.5743532644306
ceasefire-for-hostage-release,2867.7345368098477
seven-and-a-half,2858.5535244860157
year-and-a-half,2824.5542969963135
"77,908",2822.3730286821446
"71,700",2820.856879936825
two-and-a-half,2819.8269374287283
"77,900",2745.1716565850684
"1,300-strong",2733.5824186289833
al-thawabta.unwa's,2722.955662267022
"7,700",2679.707932894813
â_x0082_¬13.7m,2607.615427406116
"2,000-pound",2604.35931453594
service.al-najjar,2585.705967734579
festival.pro-palestine,2584.0609961134137
share-ability.he,2582.2879487954683
self-defence.hamas,2579.6641995856808
self-defence.judge,2579.0599297344897
al-balah.the,2577.560589227883
october.pro-israel,2575.182437406909
contract.mercury-nominated,2574.807929669478
self-defence.mr,2571.517986427147
ransacked.right-wing,2570.2094804505105
al-balah.israel,2569.414376069349
north-west.they,2563.5396112010217
south-west.the,2563.5396112010217
dropped.co-leader,2561.1614593800473
57-year-old’s,2557.2583622591333
al-shifa.hamas,2556.8994758056087
harrison-murray.hay,2554.0848920658514
17-year-long,2552.60643241737
co-operation.a,2551.706740244877
camps.pro-palestinian,2551.706740244877
it.far-right,2551.567846386832
al-shifa.during,2551.567846386832
17-year-old,2549.7918486776125
june.pro-palestinian,2547.247184883954
al-jamal.his,2545.9386789073174
al-fayad.senior,2545.3344090561263
al-sultan.it,2537.7924657487833
â£11.7m,2537.4583058245103
87-minute-long,2488.6588574724337
79-year-old,2474.1066253258537
74-year-old,2470.5944173187336
47-year-old,2470.5944173187336
27-year-old,2459.681799862027
"75,815",2458.8143662978964
57-year-old,2454.6900162914603
75-year-old,2454.6900162914603
"36,731",2429.230485158287
1976.acting,2418.5708138806717
11.7m,2415.139761370383
70-year-old,2408.6429016355996
"33,137",2398.4141795022106
"36,170",2392.9320136205833
"75,298",2388.120926516707
"35,170",2371.8643510826632
"32,782",2363.9474579347234
"1,970ft",2357.797072319112
"33,729",2337.469382839178
"34,735",2328.965391261489
"31,700",2325.817236426804
"34,780",2323.8211771650017
"37,084",2323.8211771650017
"4,247",2323.3117474397827
15.7m,2320.0379289842335
17.5,2320.0379289842335
"3,476",2313.7345822617044
"36,470",2313.7345822617044
13.7m,2310.289285866077
roglic.lidlâ_x0080__x0093_trek's,2298.363925565435
"1,700",2289.518764889099
"33,970",2286.43048461275
"37,340",2282.9182766056288
"35,270",2281.7543022670784
1.7,2273.990814328375
"6,270ft",2269.3380770070526
"576,000",2261.5317096967283
"70,450",2256.3684481860814
"34,700",2246.619805067926
83.7,2246.3417109211446
19-year-old's,2242.186103085396
"37,200",2235.707187611219
six-yard-box,2229.497507047806
8.7,2210.0432393834403
2.7bn,2202.6291031072374
"72,000",2199.4087160735144
9.7in,2198.305590976617
"750,000",2194.4169325029475
"75,000",2194.4169325029475
"30,700",2184.6682893847906
"370,000",2184.6682893847906
"37,000",2184.6682893847906
"73,000",2184.6682893847906
0.27,2183.8807655127903
2.7,2183.8807655127903
disciplined.thursdayâ_x0080__x0099_s,2169.86480180392
11-year-old,2159.602680671898
"700,000",2148.3698178470872
"70,000",2148.3698178470872
"7,000",2148.3698178470872
0.7,2132.8418672863622
communityâ_x0080__x009d_.congresswoman,2108.2563636233963
â_x0082_¬326.5m,2099.329155392448
18-month-old,2099.0739593179137
18-year-old,2095.655105726965
â_x0082_¬2.1m,2091.017739047116
â_x0082_¬20.1m,2091.017739047116
16-year-old,2085.5685108236685
19-year-old,2083.917457320142
41-year-old,2080.4052493130216
14-year-old,2080.4052493130216
12-year-old,2069.4926318563153
21-year-old,2069.4926318563153
"18,515",2068.6251982921845
15-year-old,2064.500848285748
â_x0082_¬306.4m,2064.1946581932953
grandmother-of-six,2060.16603844246
mother-of-six,2057.351454702702
13-year-old,2054.7522051675915
31-year-old,2054.7522051675915
six-month-old,2049.8095113953596
six-year-old,2046.3906578044105
10-year-old,2018.4537336298877
"31,988",2014.345589263488
"31,180",2012.8294405181682
64-year-old,2006.37107946479
28-year-old,2005.545056911381
82-year-old,2005.545056911381
85-year-old,2000.5532733408131
26-year-old,1995.458462008084
62-year-old,1995.458462008084
29-year-old,1993.8074085045585
38-year-old,1990.8046302226571
24-year-old,1990.2952004974377
54-year-old,1985.3034169268703
45-year-old,1985.3034169268703
63-year-old,1980.7180353193603
36-year-old,1980.7180353193603
22-year-old,1979.3825830407318
"32,916",1978.0965204895415
â£12.4m,1977.9616576443382
34-year-old,1975.554773808714
43-year-old,1975.554773808714
25-year-old,1974.3907994701642
"34,183",1969.9304806969951
"1,910m",1964.7933205736413
23-year-old,1964.6421563520082
32-year-old,1964.6421563520082
1948.the,1960.142883477235
