Word,Score
kronishl.e.a.r.h.n,9354.879216497317
yanshufim.giveback.co.il/our_heart_helooking,6448.801527754173
experience.www.noayekutieli.com/ella,6420.321052189339
"15,000-50,000.some",6290.643040570313
www.google-analytics.com/analytics.js,6177.027935553556
book-week.nli.org.ildaliat,6002.175534272196
www.jer-cin.org.il,5957.599747300911
www.ipo.co.il/en,5782.945091290999
www.tivtaam.co.il,5651.59099147747
us02web.zoom.us/j/82396331946webinar,5512.276554250515
pic.twitter.com/ux7ft8z9ne,4642.246490330335
pic.twitter.com/tul79xifve,4591.158356789679
www.recruiting-with-love.org,4580.7570497521865
pic.twitter.com/xcjozjuu8i,4573.2178034926965
pic.twitter.com/o3f4x7b6yk,4554.729169321919
pic.twitter.com/vxjtkcumub,4544.371263045952
pic.twitter.com/l4u3s26asw,4531.988472860299
pic.twitter.com/hiy72rb2xg,4523.464219433525
pic.twitter.com/f24ru8nkav,4487.224062712994
pic.twitter.com/ov6rk4g79f,4485.314103882886
pic.twitter.com/hsziuyru2v,4478.391571128322
pic.twitter.com/7zwevrqcp1,4464.710055666458
pic.twitter.com/ks918c2koc,4462.859026024524
pic.twitter.com/cdxj6s4kou,4457.000769150899
x.com/horizon_lately/status/1720905755371405633,4448.9216087618615
pic.twitter.com/ggre1z7o9a,4438.800269033637
pic.twitter.com/8phoouthju,4435.939099704941
pic.twitter.com/uocwv6bztx,4432.974962599712
pic.twitter.com/caf2ywucdc,4408.873367991398
pic.twitter.com/4quqzmj1dc,4403.56945791928
pic.twitter.com/n9ulnmxfye,4397.765603614543
pic.twitter.com/k5urwelaeo,4393.456425912719
pic.twitter.com/8xrdy5rr4m,4388.101568105478
pic.twitter.com/5np6epiz93,4380.048486356758
pic.twitter.com/geczhjxweu,4370.561311396612
pic.twitter.com/8r0chuwhjh,4367.2530465095815
pic.twitter.com/ilquw6rolt,4366.4735225067
tuviasalon.eventbrite.comfarewell,4364.685243709377
pic.twitter.com/cv81olf3md,4357.068638763577
chenpeiper2.wixsite.com/chen,4345.58627526792
pic.twitter.com/ectw4hndi7,4344.9437664630295
pic.twitter.com/jcd1nlqpk3,4333.9023759577385
pic.twitter.com/toxvl6exrh,4325.569309781169
pic.twitter.com/bzvanlupql,4324.016119871303
pic.twitter.com/5nk5r4ibhf,4314.087907808776
pic.twitter.com/z9ad7nkagj,4311.151714233427
pic.twitter.com/vlecq54rhn,4311.075393130081
pic.twitter.com/suawyggrs2,4306.926800995118
pic.twitter.com/fn2tgj28vy,4300.4644242101685
dialogue.ellataub.com,4294.445383245454
pic.twitter.com/kdbbzfwnqu,4288.297218242937
pic.twitter.com/u4dfjflndi,4286.246370024702
pic.twitter.com/xdgs6ihcxj,4277.883053892321
pic.twitter.com/g1nlpckvqp,4271.805016510139
pic.twitter.com/ens6wz8z9y,4270.999282193988
"3,200,999",4268.62274880934
pic.twitter.com/q4jgbznc09,4262.509188285527
pic.twitter.com/kabxoc1oho,4252.982890458768
pic.twitter.com/x90agz8gdh,4238.009308439189
pic.twitter.com/a4alnsxxti,4237.165801799301
pic.twitter.com/erof1jha8s,4235.181066908365
ל-7.10.כעת,4226.89945663496
pic.twitter.com/ewyshhubaz,4220.921973328389
pic.twitter.com/4gajdxgy5i,4220.518805691723
pic.twitter.com/r1m4shkdea,4215.537770590998
pic.twitter.com/ho49lragtb,4214.378668573327
pic.twitter.com/gwclet2vtt,4213.371308320927
pic.twitter.com/qsox3evz0y,4212.159518336382
pic.twitter.com/dvn5yzgs6e,4207.366546252697
pic.twitter.com/wdga1id4ve,4200.402061483266
pic.twitter.com/arskneory2,4196.319874243482
pic.twitter.com/ilszpegdc8,4189.584111870812
"4,500.gordon-shaag",4188.139720649237
pic.twitter.com/ynvycsjkxn,4182.532744705069
pic.twitter.com/hfdhaxrwm5,4181.738844862721
pic.twitter.com/mc3mam0hch,4172.250514615803
