Word,Score
"3,000-year-old",1031.0148475721298
"2,000-pound",988.2408708959664
"35,000people",983.3558932508366
"570,000",972.2484311425576
"4,700",965.5869372315404
"36,800",911.9989470737715
"2,500",906.054738514343
"1,002",904.9140326313628
"1,200",904.9140326313628
"36,000",900.7383326648493
"35,000",899.6504686085192
"13,000",898.509762725539
"38,000",894.9101441122975
"34,000",892.9889746975022
"30,000",883.6495297033754
"300,000",883.6495297033754
"3,000",883.6495297033754
"150,000",870.2034151882957
"15,000",870.2034151882957
"101,000",869.0627093053156
"1,800",865.4630906920743
"48,000",859.9423026640374
"6,000",856.4310462224621
"50,000",855.343182166132
"500,000",855.343182166132
"5,000",855.343182166132
"1,000",854.202476283152
"800,000",850.6028576699105
"40,000",848.6816882551151
"9,000",845.8841246924806
",",839.3422432609882
’,650.1944699890186
1774-78,435.08522858326904
7333335,354.44262009350416
27-year-old,314.9821231933906
revivestalledcease-fire,300.37396619405973
u.n.f.p.a,300.1210409448838
get-out-the-vote,294.0094981347403
hostage-for-cease-fire,288.1148723176636
277,284.5220543010611
2023-24times,282.8883429745251
school-turned-shelter,276.36723680458584
37-member,266.51723117678847
1776,265.759533936488
1757,264.6716698801579
college-educated,264.6076810074735
7-year-old,264.2705668451799
70-year-old,264.2705668451799
subscriber-onlynewsletter,261.2530754458209
123-year-old,257.2443936815166
7:00,253.47012468488248
u.c.l.a,253.37212729461086
come-to-jesus,251.60248725896776
intelligence-powered,250.1258486007123
n.a.a.c.p,248.96102935254677
ex-colleague,248.56174371042167
63-57,243.2114665142106
23-year-old,242.38416065935277
three-judge,229.92351109122268
2735,227.92503067216683
blue-and-white,227.45786181349393
17-hour,226.972187302093
2024-25,226.38424217268408
behind-the-scenes,215.56910170126886
c.e.o.s,213.9231783378896
intelligence-based,213.35045474743364
prosecutorrequested,213.32612137641757
06:29,210.9071164496347
tumultuous,206.53925044548967
31-year-old,206.53283733330565
13-year-old,206.53283733330565
english-language,206.27709407115344
double-edged,205.1413212256474
eight-mile-long,204.8965972434565
immediatecease-fire,204.67987144001603
29-year-old,204.61875564845812
full-members,204.1227898288211
self-rule,204.1227898288211
self-defense,202.6937998396276
republican-led,202.24066029447044
full-scale,202.23393289613526
nine-mile-long,200.9044272617024
bogel-burroughs,199.03550075292938
full-court,198.9845095596653
81873,198.59399725882068
1752,198.4779772519436
5:30,196.8731010559883
severalisraeliandpalestinianrights,196.21009206132263
2021contributed,195.73832524322316
u.a.e,195.00574593130514
”,194.5979506407105
“,194.51159324017203
‘,192.69058694641618
8:30,192.13277655976682
dual-use,191.05116078942115
rules.credit,189.25715723182282
state-level,188.5998059138927
minister-level,188.5998059138927
re-elected,188.00909861908383
seven-month-old,187.96205573147992
low-level,187.3485134013083
surface-to-air,187.09556368512895
republican-written,186.48874875329255
israeli-occupied,185.85118433319104
n.c.a.a,185.72542507329183
much-needed,184.75967528261387
quicklydenouncedby,184.71406438350755
conservative-led,184.60931455074058
beleaguered,184.42988526146456
american-supplied,183.87184013113773
n.y.p.d,183.74608087123858
cumming-bruce,183.61356499521216
successfully,183.23278378079877
1973,182.61464987246836
excellence,182.5203318750775
j.v.p,182.02120318554486
justiceordered,181.98186206600423
unusually,181.5909205173618
self-governed,181.06499545198113
faculty-led,180.88474674953963
3:00,180.87216215084447
unequivocally,180.84985249067972
exclusively,179.86161583341635
student-edited,179.7999650972976
three-quarters,179.7999650972976
55-year-old,179.36719567904245
announcementoutlining,179.29160499230875
tribecafilm.com/thedaily,179.0907431919413
jewish-israeli,178.38253252216074
close-quarters,177.91110816461176
