sub_title,date,Newspaper,Body Text,title
"Pope Francis says his thoughts go to those facing wars , especially children who have ‘ forgotten how to smile ’ .",31 Mar 2024,al-j,"pope francis has renewed calls for an immediate ceasefire in gaza and the release of all israeli captives in a peace-focused address marking easter sunday , the most important day on the christian calendar .","pope renews call for gaza ceasefire , release of captives in easter address"
The meaningless ceasefire resolution his administration allowed the UN Security Council to pass should not fool anyone .,2 Apr 2024,al-j,united states president ronald reagan’s order to israeli prime minister menachem begin to put an end to his “ holocaust ” in lebanon is perhaps the best-known political anecdote from israel’s 1982 invasion .,biden is still the best us president israel could wish for
Israeli strikes continue to kill Palestinians as PM Netanyahu faces pressure from all sides over ceasefire proposals .,3 Jun 2024,al-j,the israeli military has launched more air strikes across the gaza strip to deadly effect as officials discuss the latest proposed deal to end hostilities and exchange prisoners .,israeli air strikes continue across gaza as truce talks struggle
Students staging sit-in and hunger strike at the French university leave campus without incident .,3 May 2024,al-j,french police officers entered the paris institute of political studies ( sciences po ) in paris and removed pro-palestinian student activists who had occupied its buildings to protest israel’s war on gaza .,police remove pro-palestinian students from paris’s sciences po university
Search teams in Gaza say they’ve uncovered hundreds of bodies in the grounds of Nasser Medical Complex in the city of Khan Younis . The hospital was raided by Israeli forces before their recent withdrawal from the area .,22 Apr 2024,al-j,,mass graves found at southern gaza hospital raided by israeli forces
United Nations chief says Israel’s military campaign in Gaza has brought ‘ relentless death and destruction ’ .,6 Apr 2024,al-j,"here’s how things stand on saturday , april 6 , 2024 :","israel’s war on gaza : list of key events , day 183"
"Relatives of Gaza captives locked themselves in cages and blocked roads in Tel Aviv , calling on Israeli Prime Minister Benjamin Netanyahu to reach a deal to release their loved ones .",27 Mar 2024,al-j,,relatives of gaza captives protest in cages
The International Court of Justice has issued a legally binding order for Israel to halt its invasion of Rafah .,24 May 2024,al-j,"the international court of justice called on israel to end its operation in rafah , the southernmost town in gaza .","icj rules israel must stop rafah operation , what’s next ?"
Commission of Inquiry accuses Israel and Palestinian groups of war crimes . Here’s a breakdown .,13 Jun 2024,al-j,"a united nations-backed inquiry has concluded that war crimes have been committed by israel and by hamas as well as other palestinian groups , during the now eight-month conflict .","israel in gaza , palestinian fighters in israel , what the un accuses them of"
More than 300 bodies retrieved from two of the largest hospitals in Gaza after Israeli sieges end this month .,24 Apr 2024,al-j,the discovery of a mass grave inside the nasser medical complex in khan younis in the southern gaza strip this week has been met with grief and horror from palestinians and has drawn condemnation from the united nations and calls for a transparent and credible investigation .,uncovering of mass grave at gaza’s nasser hospital : what you need to know
British government is coming under growing pressure to halt weapons supplies to Israel as it continues its war on Gaza .,9 Apr 2024,al-j,"the united kingdom will not halt arms sales to israel by british companies after reviewing the latest legal advice on the matter , foreign minister david cameron has said .","uk will not block arms sales to israel , says foreign minister david cameron"
"The Israeli army has said that eight rockets were fired from Gaza , targeting central Israel , including Tel Aviv .",26 May 2024,al-j,"hamas says it has launched rockets at tel aviv , prompting sirens to sound in the israeli city for the first time in several months .","hamas fires rockets at israel’s tel aviv , causing first sirens for months"
Activists in Pakistan called out the German ambassador’s alleged hypocrisy for speaking at a human rights forum while Germany stifles criticism of Israel’s assault on Gaza . The pro-Palestinian demonstrators were quickly removed from the Asma Jahangir Conference by authorities .,28 Apr 2024,al-j,,pakistani activists heckle german ambassador over gaza
Israel has ignored calls from its Western allies not to conduct a major operation in Rafah and faced no consequences .,30 May 2024,al-j,"israeli tanks have rolled into rafah’s city centre and its army announced that it now controls the entire philadelphi corridor , the strip of land that runs along egypt’s border with gaza’s rafah governorate .",how israel pushed dotted ‘ red lines ’ to have its way in rafah
"Hezbollah chief Nasrallah says support for Gaza is ‘ final ’ , as cross-border fighting displaces thousands of people .",13 May 2024,al-j,the head of powerful lebanese armed group hezbollah said that residents of northern israel would not be able to return home for the start of the next school year if their government pressed on with its assault on the gaza strip .,hezbollah says will keep fighting if israel presses on with assault on gaza
Hamas says negotiations to continue next week even as Israel ‘ thwarts ’ deal to secure 40-day truce before Ramadan .,7 Mar 2024,al-j,"hamas says its delegation has left egypt but talks on a ceasefire in the gaza strip will continue next week until an agreement is reached with israel , whom the palestinian group says has “ thwarted ” mediators ’ attempts to broker a deal before the muslim holy month of ramadan .",gaza ceasefire talks end in cairo with ‘ no substantial answer or solution ’
Al Jazeera looks at Washington’s main statements and positions on Israel’s war in Gaza and how policy shifted over time .,7 Mar 2024,al-j,"washington , dc – as israel’s war in gaza prompts mounting human rights concerns , the united states has slowly notched up criticism of the israeli government while simultaneously continuing to arm and support its ally .","timeline : the biden administration on gaza , in its own words"
"Israel has attacked twice since Sunday , killing tens of people in horrific circumstances .",28 May 2024,al-j,"thirteen out of 21 people killed by israel in an air strike on the so-called “ safe area ” of al-mawasi were civilian women and girls , al jazeera’s hind khoudary reported on tuesday .",what happened when israel attacked rafah ?
