date,Newspaper,Body Text,title
2024-06-12T11:02:36+0000,The New York Times,"israel-hamaswar advertisement around 215 rockets were launched from lebanon into northern israel in an apparent response to the strike , israeli army radio said . there were no immediate reports of casualties . byeuan ward reporting from beirut , lebanon the lebanese militant group hezbollah fired one of its heaviest rocket barrages yet into israel on wednesday , targeting military bases and an arms factory , in response to an overnight strike thatkilled one of its senior commandersas tensions rise further at the border . the commander , taleb abdallah , also known as abu taleb , was among the highest-ranking members of hezbollah , apowerful lebanese militia and political movementbacked by iran , to have been killed since the oct . 7 hamas-led attack on israel set off war in gaza . there were no immediate reports of casualties from the hezbollah rocket barrages , according to the israeli military . israel and hamas have been trading fire since israel’s offensive in the gaza strip prompted hezbollah to mount cross-border attacks in support of hamas , but the intensity of hezbollah’s attacks has increased this month . israeli officials have threatened at the highest levels to pursue further military action and hezbollah has vowed to keep up its fight , raising fresh concerns that the months of low-level conflict could grow into a larger war on israel’s northern border . speaking at mr . abdallah’s funeral in beirut’s southern suburbs , hashem safieddine , the leader of hezbollah’s executive council , pledged that the group would double down on its attacks against israel in the wake of the killing . “ if the enemy’s message is to retreat from our position in supporting the oppressed in gaza , then he must know that our answer is final , ” mr . safieddine said . “ we will increase the intensity , quantity and quality of our operations . ” we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",hezbollah launches rocket barrage after israeli strike kills a commander
2024-05-29T23:00:22+0000,The New York Times,"israel-hamaswar advertisement supported by the assessment , at odds with prime minister benjamin netanyahu’s assertion that the country is “ on the brink of victory , ” came as israel claimed control of a key buffer strip along egypt’s border . byaaron boxerman,gabby sobelman,erika solomonandthomas fuller israel’s national security adviser said wednesday that he expected military operations in gaza to continue through at least the end of the year , appearing to dismiss the idea that the war could come to an end after the military offensive against hamas in rafah . “ we expect another seven months of combat in order to shore up our achievement and realize what we define as the destruction of hamas and islamic jihad’s military and governing capabilities , ” tzachi hanegbi , the national security adviser , said in a radio interview with kan , the israeli public broadcaster . the israeli military also said wednesday that it had seized “ operational control ” over abuffer stripalong the southern edge of gaza to prevent cross-border smuggling with egypt that would allow hamas and other palestinian militant groups to rearm . prime minister benjamin netanyahu has said repeatedly that controlling the corridor is critical for israeli security in postwar gaza . rear adm . daniel hagari , the israeli military spokesman , said the zone was “ hamas’s oxygen tube ” and had been used by the palestinian armed group for “ smuggling munitions into gazan territory on a regular basis . ” he said that hamas had also built tunnels near the egyptian border , calculating that israel would not dare strike so close to egyptian territory . in recent months , israeli defense officials have told the public to expect a protracted campaign in gaza , although one that would progress in phases toward lower-intensity fighting . still , mr . hanegbi’s assessment of at least another seven months of military operations appeared to be at odds with earlier projections by mr . netanyahu , who said in april that the country was “ on the brink of victory ” in its war against hamas . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement","gaza offensive to last at least to year’s end , israeli official says"
2024-04-23T04:01:22+0000,The New York Times,,"trapped and starving , 2 families in gaza try to keep their children alive"
2024-03-19T15:44:11+0000,The New York Times,,u.n . says israel may be restricting gaza aid as a war tactic
2024-03-13T19:32:58+0000,The New York Times,,help ! we’re booked on a nile cruise but worry about our safety .
2024-03-01T21:01:33+0000,The New York Times,,penn trustees meeting is cut short after students protest over war in gaza
2024-04-17T13:46:48+0000,The New York Times,,how to define the term ‘ antisemitism ’ is the subject of bitter debate
2024-05-24T10:00:48+0000,The New York Times,"for more audio journalism and storytelling,download new york times audio , a new ios app available for news subscribers . hosted bytracy mumford featuringmaria abi-habibandaaron boxerman produced byian stewart edited byjessica metzger,tracy mumfordandjames shield on today’s episode : top u.n . court expected to rule on israel’s assault on rafah,by gaya gupta lawmakers dial up pressure on alito to recuse from elections cases,by zach montague trump’s v.p . pageant has an unexpectedly strong contender : tom cotton,by michael c . bender decades in the making , a new era dawns for the n.c.a.a . : paying athletes directly,by billy witz haiti’s gangs grow stronger as kenyan-led force prepares to deploy,by maria abi-habib tune in , and tell us what you think attheheadlines@nytimes.com . for corrections , emailnytnews@nytimes.com . for more audio journalism and storytelling,downloadthe new york times audio app — available to times news subscribers on ios — andsign upfor our weekly newsletter . maria abi-habibis an investigative correspondent reporting on latin america and is based in mexico city.more about maria abi-habib aaron boxermanis a times reporting fellow with a focus on international news.more about aaron boxerman advertisement","a week of diplomatic blows to israel , and calls for alito’s recusal"
2024-03-20T23:00:13+0000,The New York Times,,"the war in gaza has left a power vacuum , and scant planning to fill it"
2024-05-22T21:00:06+0000,The New York Times,"advertisement supported by the heads of rutgers , northwestern and u.c.l.a . will be the first university leaders to testify since a wave of protest encampments roiled college campuses . bysharon otterman,ernesto londoñoandnicholas bogel-burroughs for the fourth time in six months , the republican-led house committee on education and the workforce is summoning school leaders to washington to be questioned about accusations of antisemitism at their institutions . this time , on thursday , the committee’s focus will be on how three diverse universities reacted when pro-palestinian encampments sprung up on their lawns as part of an international wave of student activism against the war in gaza . two of the schools whose leaders will testify — northwestern and rutgers — made deals with protesters to end their encampments peacefully . the third , the university of california , los angeles , called in the police to dismantle its encampment , but only after a violent attack by counterprotesters the night before caused the situation toveer out of control . representative virginia foxx , the chairwoman of the committee , has blasted rutgers and northwestern for negotiating with the demonstrators , whose views she has described as antisemitic and supportive of terrorism . but she has also derided u.c.l.a . ’ s chancellor for calling the police too late , saying he allowed his campus to become a “ severe and pervasive hostile environment for jewish students . ” “ the committee has a clear message for mealy-mouthed , spineless college leaders : congress will not tolerate your dereliction of your duty to your jewish students , ” ms . foxx said in amay 16 statementannouncing the hearing . “ no stone must go unturned while buildings are being defaced , campus greens are being captured or graduations are being ruined . ” the three college leaders do not dispute that jewish students have faced antisemitism , both on and off their campuses . but all have largely defended their responses , saying that they have taken steps to stop it . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",3 more college leaders to face congress over antisemitism claims
