sub_title,date,Newspaper,Body Text,title
"Pope Francis say his thought go to those facing war , especially child who have ‘ forgotten how to smile ’ .",31 Mar 2024,al-j,"pope francis ha renewed call for an immediate ceasefire in gaza and the release of all israeli captive in a peace-focused address marking easter sunday , the most important day on the christian calendar .","pope renews call for gaza ceasefire , release of captive in easter address"
The meaningless ceasefire resolution his administration allowed the UN Security Council to pas should not fool anyone .,2 Apr 2024,al-j,united state president ronald reagan ’ s order to israeli prime minister menachem begin to put an end to his “ holocaust ” in lebanon is perhaps the best-known political anecdote from israel ’ s 1982 invasion .,biden is still the best u president israel could wish for
Israeli strike continue to kill Palestinians a PM Netanyahu face pressure from all side over ceasefire proposal .,3 Jun 2024,al-j,the israeli military ha launched more air strike across the gaza strip to deadly effect a official discus the latest proposed deal to end hostility and exchange prisoner .,israeli air strike continue across gaza a truce talk struggle
Students staging sit-in and hunger strike at the French university leave campus without incident .,3 May 2024,al-j,french police officer entered the paris institute of political study ( science po ) in paris and removed pro-palestinian student activist who had occupied it building to protest israel ’ s war on gaza .,police remove pro-palestinian student from paris ’ s science po university
Search team in Gaza say they ’ ve uncovered hundred of body in the ground of Nasser Medical Complex in the city of Khan Younis . The hospital wa raided by Israeli force before their recent withdrawal from the area .,22 Apr 2024,al-j,,mass graf found at southern gaza hospital raided by israeli force
United Nations chief say Israel ’ s military campaign in Gaza ha brought ‘ relentless death and destruction ’ .,6 Apr 2024,al-j,"here ’ s how thing stand on saturday , april 6 , 2024 :","israel ’ s war on gaza : list of key event , day 183"
"Relatives of Gaza captive locked themselves in cage and blocked road in Tel Aviv , calling on Israeli Prime Minister Benjamin Netanyahu to reach a deal to release their loved one .",27 Mar 2024,al-j,,relative of gaza captive protest in cage
The International Court of Justice ha issued a legally binding order for Israel to halt it invasion of Rafah .,24 May 2024,al-j,"the international court of justice called on israel to end it operation in rafah , the southernmost town in gaza .","icj rule israel must stop rafah operation , what ’ s next ?"
Commission of Inquiry accuses Israel and Palestinian group of war crime . Here ’ s a breakdown .,13 Jun 2024,al-j,"a united nations-backed inquiry ha concluded that war crime have been committed by israel and by hamas a well a other palestinian group , during the now eight-month conflict .","israel in gaza , palestinian fighter in israel , what the un accuses them of"
More than 300 body retrieved from two of the largest hospital in Gaza after Israeli siege end this month .,24 Apr 2024,al-j,the discovery of a mass grave inside the nasser medical complex in khan younis in the southern gaza strip this week ha been met with grief and horror from palestinian and ha drawn condemnation from the united nation and call for a transparent and credible investigation .,uncovering of mass grave at gaza ’ s nasser hospital : what you need to know
British government is coming under growing pressure to halt weapon supply to Israel a it continues it war on Gaza .,9 Apr 2024,al-j,"the united kingdom will not halt arm sale to israel by british company after reviewing the latest legal advice on the matter , foreign minister david cameron ha said .","uk will not block arm sale to israel , say foreign minister david cameron"
"The Israeli army ha said that eight rocket were fired from Gaza , targeting central Israel , including Tel Aviv .",26 May 2024,al-j,"hamas say it ha launched rocket at tel aviv , prompting siren to sound in the israeli city for the first time in several month .","hamas fire rocket at israel ’ s tel aviv , causing first siren for month"
Activists in Pakistan called out the German ambassador ’ s alleged hypocrisy for speaking at a human right forum while Germany stifle criticism of Israel ’ s assault on Gaza . The pro-Palestinian demonstrator were quickly removed from the Asma Jahangir Conference by authority .,28 Apr 2024,al-j,,pakistani activist heckle german ambassador over gaza
Israel ha ignored call from it Western ally not to conduct a major operation in Rafah and faced no consequence .,30 May 2024,al-j,"israeli tank have rolled into rafah ’ s city centre and it army announced that it now control the entire philadelphi corridor , the strip of land that run along egypt ’ s border with gaza ’ s rafah governorate .",how israel pushed dotted ‘ red line ’ to have it way in rafah
"Hezbollah chief Nasrallah say support for Gaza is ‘ final ’ , a cross-border fighting displaces thousand of people .",13 May 2024,al-j,the head of powerful lebanese armed group hezbollah said that resident of northern israel would not be able to return home for the start of the next school year if their government pressed on with it assault on the gaza strip .,hezbollah say will keep fighting if israel press on with assault on gaza
Hamas say negotiation to continue next week even a Israel ‘ thwart ’ deal to secure 40-day truce before Ramadan .,7 Mar 2024,al-j,"hamas say it delegation ha left egypt but talk on a ceasefire in the gaza strip will continue next week until an agreement is reached with israel , whom the palestinian group say ha “ thwarted ” mediator ’ attempt to broker a deal before the muslim holy month of ramadan .",gaza ceasefire talk end in cairo with ‘ no substantial answer or solution ’
Al Jazeera look at Washington ’ s main statement and position on Israel ’ s war in Gaza and how policy shifted over time .,7 Mar 2024,al-j,"washington , dc – a israel ’ s war in gaza prompt mounting human right concern , the united state ha slowly notched up criticism of the israeli government while simultaneously continuing to arm and support it ally .","timeline : the biden administration on gaza , in it own word"
"Israel ha attacked twice since Sunday , killing ten of people in horrific circumstance .",28 May 2024,al-j,"thirteen out of 21 people killed by israel in an air strike on the so-called “ safe area ” of al-mawasi were civilian woman and girl , al jazeera ’ s hind khoudary reported on tuesday .",what happened when israel attacked rafah ?
Government spokesman say Al-Aqsa Hospital at three time it clinical capacity a dead and wounded continue to arrive .,6 Jun 2024,al-j,"an israeli air attack on a un-run school sheltering displaced palestinian in central gaza ’ s nuseirat camp killed at least 40 people , mainly woman and child , according to local government official .","israel attack un-run school in central gaza , killing at least 40"
"Israel ’ s military campaign ha brought ‘ relentless death and destruction ’ for people in Palestine , say UN Secretary General Antonio Guterres . In a speech marking six month of war in Gaza , Guterres said nothing can justify the ‘ collective punishment ’ taking place there .",5 Apr 2024,al-j,,"‘ silence the gun , ’ say un chief in speech marking 6 month of war on gaza"
Two mass graf were discovered in Gaza on Monday — one at al-Shifa Hospital and the second in Beit Lahiya .,16 Apr 2024,al-j,"here ’ s how thing stand on tuesday , april 16 , 2024 :","israel ’ s war on gaza : list of key event , day 193"
Israeli prime minister say he will fight any sanction targeting Israeli military unit for alleged right violation .,21 Apr 2024,al-j,"israeli prime minister benjamin netanyahu ha said he would fight against any sanction being imposed on israeli military unit for alleged right violation , after a united state medium outlet reported that washington wa planning such a step .",u set to impose sanction on israeli military unit over abuse : report
"Media watchdog decry Ismail al-Ghoul ’ s arrest from al-Shifa Hospital , where thousand of civilian are trapped .",18 Mar 2024,al-j,al jazeera arabic correspondent ismail al-ghoul ha been released after being arrested for 12 hour and severely beaten by israeli force in gaza city ’ s al-shifa hospital .,al jazeera journalist freed after 12-hour arrest by israeli force in gaza
Germany and the US are rendering a draft resolution on the Bosnian genocide meaningless with their position on Gaza .,22 May 2024,al-j,"on may 1 , a draft resolution wa submitted to the united nation general assembly ( unga ) to declare july 11 a day of remembrance for the 1995 srebrenica genocide . the document wa put forward by germany and rwanda and co-sponsored by the united state and other country . it will be debated and voted on during a unga session on may 23 .",the theatrics of genocidal impunity
Daniel Hagari go against Netanyahu by saying that identifying the impossible task of defeating Hamas a Israel ’ s end goal in Gaza mean ‘ throwing sand in people ’ s eye ’ .,20 Jun 2024,al-j,al jazeera is reporting from outside israel because it ha been banned by the israeli government .,israeli military spokesman ’ s hamas defeat remark widen rift with netanyahu
"The Israeli government and Palestinian group including Hamas have committed war crime during the war on Gaza , according to a report from the UN Commission of Inquiry . It detailed a long list of offence , including the use of extermination , starvation , indiscriminate attack , siege warfare , and sexual and other gender-based violence .",12 Jun 2024,al-j,,"un report on israel , hamas : murder , starvation , gender-based violence"
"Attacks target Hodeidah ’ s airport and region north of Sanaa , Al Masirah TV say , a Houthis continue Red Sea attack .",7 Jun 2024,al-j,"the united state and united kingdom have carried out six air strike against target in yemen , a houthi-run television station report , a the yemeni group target shipping lane in the red sea .","u and uk air strike hit yemen , houthi-run tv report"
"Video show the rescue of Palestinian girl who ’ d been trapped under rubble after an Israeli attack in Gaza . As she wa freed from the debris the child is seen asking for her mother , who died in the attack according to witness .",13 May 2024,al-j,,palestinian girl rescued from rubble after israeli attack in gaza
Israel ’ s assault on the Gaza Strip ha placed a pall over Eid celebration for Palestinians .,9 Apr 2024,al-j,"this year , the shadow of continued israeli attack on the gaza strip loom large over palestinian a they prepare for the muslim holiday of eid al-fitr , marking the end of the fasting month of ramadan .",photo : palestinian in gaza prepare for eid amid death and destruction
"As the world celebrates International Women ’ s Day , Gaza ’ s Health Ministry provided an update on the challenge facing woman in the Gaza Strip .",8 Mar 2024,al-j,"here ’ s how thing stand on friday , march 8 , 2024 :","israel ’ s war on gaza : list of key event , day 154"
A symbol of coexistence no more,8 Jun 2024,al-j,"on march 6 , ayman shaer found himself lying on the ground in the ancient square of sebastia , bleeding and in unbearable pain .",' they would have to kill me first '
"Police out in full force , some using chemical irritant and Tasers to disperse student , a more university join movement .",28 Apr 2024,al-j,"hundred of student have been arrested across university in the united state , with scuffle reported between pro-israeli and pro-palestinian demonstrator at ucla , a rally for a ceasefire in gaza and divestment from company linked to israel spread across u campus .","hundred of student arrested in u gaza war protest , scuffle at ucla"
"As an Israeli ground assault on Gaza ’ s last ‘ safe zone ’ loom , two child in Rafah brace for it .",25 Apr 2024,al-j,"“ we ’ re afraid people will resort to killing each other for food , ” 11-year-old husam say a he recount his daily battle to secure basic necessity like food , water and sanitation in rafah during the israel-hamas war .",how gaza ’ s child are preparing for israel ’ s invasion of rafah i close up
Two country warn of ‘ potentially devastating consequence ’ if Israel push ahead with ground offensive in Rafah .,22 Mar 2024,al-j,"australia and the united kingdom have called for an “ immediate cessation of fighting ” in gaza , warning of “ potentially devastating consequence ” if israel go ahead with a planned ground assault on the southern city of rafah .","uk , australia call for ‘ immediate ’ end to fighting in gaza"
Resolution call on UN Security Council to favourably reconsider Palestine ’ s request to become the 194th member of the United Nations .,10 May 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel ’ s war on gaza update : un overwhelmingly vote for palestine right
Many official around the world have welcomed the resolution .,25 Mar 2024,al-j,many world leader have welcomed a united nation security council ( unsc ) resolution that demand an immediate ceasefire between israel and the palestinian group hamas in gaza .,world reacts to unsc resolution demanding gaza ceasefire
"Aid truck are waiting an average of 20 day to access the enclave , the NGO say , a warning of impending famine rise .",18 Mar 2024,al-j,"israel is using bureaucracy to “ deliberately ” hinder aid supply headed into gaza , oxfam ha claimed .",oxfam accuses israel of ‘ deliberately ’ blocking aid to famine-stalked gaza
"Israeli Channel 14 aired her photo , claiming she wa a ‘ terrorist ’ . A few week later an Israeli missile killed her and her son .",26 May 2024,al-j,"on april 24 , amna homaid ’ s torn body lay in the rubble of a house in shati camp , in the western part of gaza city , a rescuer tried to find survivor . an israeli attack had struck the building , killing her and her eldest son mahdi . her brother and her other five child were injured but survived .",remembering palestinian journalist amna homaid
"US riot police have been filmed arresting a person who appears to be disabled during anti-war protest at the University of Texas . Dozens of student were arrested a police moved in to clear the encampment , reportedly using pepper spray to disperse crowd .",30 Apr 2024,al-j,,police arrest anti-war student protester at texas university
"Biden face pressure from foreign partner , right group and some fellow Democrats in Congress to impose condition on arm transfer to Israel .",2 Apr 2024,al-j,"u president joe biden ’ s administration is weighing whether to go ahead with an $ 18bn arm transfer package to israel that would include dozen of f-15 aircraft , according to the reuters news agency .","biden considers $ 18bn arm transfer to israel , including f-15 jet : report"
New attack come two week after Iran-aligned group said it targeted three vessel and a US warship .,25 Apr 2024,al-j,"yemen ’ s iran-aligned houthi armed group say it attacked u and israeli vessel , with a western coalition of warship defending amid the continuing fallout from the war on gaza .","yemen ’ s houthis launch attack on u , israeli vessel a warship defend"
"An Israeli air attack on a Gaza City clinic killed two people including the director of Gaza ’ s ambulance and emergency department Hani al-Jaafrawi , the enclave ’ s Health Ministry said . At least 500 medical staff have been killed in Gaza since October 7 .",24 Jun 2024,al-j,,gaza emergency health chief killed in israeli air attack
Israeli force tie wounded Palestinian man to a military jeep in an incident a UN expert said amounted to using him a a human shield .,23 Jun 2024,al-j,"israeli force in the occupied west bank have tied a wounded palestinian man to the hood of a military vehicle during a raid on the city of jenin , appearing to use him a a human shield .",‘ human shielding in action ’ : israeli force strap palestinian man to jeep
Francesca Albanese say there are clear indication that Israel ha violated three of five act listed under UN Genocide Convention .,26 Mar 2024,al-j,"there are “ reasonable ground ” to believe israel is committing genocide in the besieged palestinian enclave of the gaza strip , according to a report issued by a united nations-appointed expert .",un expert accuses israel of ‘ genocide ’ in gaza
"Israel ha rejected a ceasefire and launched an operation in Rafah , raising fear that the war in Gaza could drag on .",7 May 2024,al-j,"israel appears to have been blindsided by hamas ’ s announcement on monday that it had agreed to an egyptian-qatari ceasefire proposal . but the israeli government quickly made it position clear – the proposal wasn ’ t something it would agree to , and , to make matter more explicit , it military force took control of the palestinian side of egypt ’ s border with gaza in rafah .",‘ the goal is to destroy gaza ’ : why israel reject a ceasefire with hamas
"Heavy Israeli air raid kill dozen in central Gaza a US , Qatari and Egyptian mediator plan to resume talk .",5 Jun 2024,al-j,"dozen of palestinian have been killed in heavy israeli bombardment of the central gaza strip , a u , qatari , and egyptian mediator plan to resume talk on a proposed ceasefire and captive release deal .",israel expands gaza offensive a mediator ’ ceasefire bid continues
