date,Newspaper,Body Text,title
2024-06-12T11:02:36+0000,The New York Times,"israel-hamaswar advertisement around 215 rocket were launched from lebanon into northern israel in an apparent response to the strike , israeli army radio said . there were no immediate report of casualty . byeuan ward reporting from beirut , lebanon the lebanese militant group hezbollah fired one of it heaviest rocket barrage yet into israel on wednesday , targeting military base and an arm factory , in response to an overnight strike thatkilled one of it senior commandersas tension rise further at the border . the commander , taleb abdallah , also known a abu taleb , wa among the highest-ranking member of hezbollah , apowerful lebanese militia and political movementbacked by iran , to have been killed since the oct . 7 hamas-led attack on israel set off war in gaza . there were no immediate report of casualty from the hezbollah rocket barrage , according to the israeli military . israel and hamas have been trading fire since israel ’ s offensive in the gaza strip prompted hezbollah to mount cross-border attack in support of hamas , but the intensity of hezbollah ’ s attack ha increased this month . israeli official have threatened at the highest level to pursue further military action and hezbollah ha vowed to keep up it fight , raising fresh concern that the month of low-level conflict could grow into a larger war on israel ’ s northern border . speaking at mr . abdallah ’ s funeral in beirut ’ s southern suburb , hashem safieddine , the leader of hezbollah ’ s executive council , pledged that the group would double down on it attack against israel in the wake of the killing . “ if the enemy ’ s message is to retreat from our position in supporting the oppressed in gaza , then he must know that our answer is final , ” mr . safieddine said . “ we will increase the intensity , quantity and quality of our operation . ” we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",hezbollah launch rocket barrage after israeli strike kill a commander
2024-05-29T23:00:22+0000,The New York Times,"israel-hamaswar advertisement supported by the assessment , at odds with prime minister benjamin netanyahu ’ s assertion that the country is “ on the brink of victory , ” came a israel claimed control of a key buffer strip along egypt ’ s border . byaaron boxerman , gabby sobelman , erika solomonandthomas fuller israel ’ s national security adviser said wednesday that he expected military operation in gaza to continue through at least the end of the year , appearing to dismiss the idea that the war could come to an end after the military offensive against hamas in rafah . “ we expect another seven month of combat in order to shore up our achievement and realize what we define a the destruction of hamas and islamic jihad ’ s military and governing capability , ” tzachi hanegbi , the national security adviser , said in a radio interview with kan , the israeli public broadcaster . the israeli military also said wednesday that it had seized “ operational control ” over abuffer stripalong the southern edge of gaza to prevent cross-border smuggling with egypt that would allow hamas and other palestinian militant group to rearm . prime minister benjamin netanyahu ha said repeatedly that controlling the corridor is critical for israeli security in postwar gaza . rear adm . daniel hagari , the israeli military spokesman , said the zone wa “ hamas ’ s oxygen tube ” and had been used by the palestinian armed group for “ smuggling munition into gazan territory on a regular basis . ” he said that hamas had also built tunnel near the egyptian border , calculating that israel would not dare strike so close to egyptian territory . in recent month , israeli defense official have told the public to expect a protracted campaign in gaza , although one that would progress in phase toward lower-intensity fighting . still , mr . hanegbi ’ s assessment of at least another seven month of military operation appeared to be at odds with earlier projection by mr . netanyahu , who said in april that the country wa “ on the brink of victory ” in it war against hamas . we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement","gaza offensive to last at least to year ’ s end , israeli official say"
2024-04-23T04:01:22+0000,The New York Times,,"trapped and starving , 2 family in gaza try to keep their child alive"
2024-03-19T15:44:11+0000,The New York Times,,u.n . say israel may be restricting gaza aid a a war tactic
2024-03-13T19:32:58+0000,The New York Times,,help ! we ’ re booked on a nile cruise but worry about our safety .
2024-03-01T21:01:33+0000,The New York Times,,penn trustee meeting is cut short after student protest over war in gaza
2024-04-17T13:46:48+0000,The New York Times,,how to define the term ‘ antisemitism ’ is the subject of bitter debate
2024-05-24T10:00:48+0000,The New York Times,"for more audio journalism and storytelling , download new york time audio , a new io app available for news subscriber . hosted bytracy mumford featuringmaria abi-habibandaaron boxerman produced byian stewart edited byjessica metzger , tracy mumfordandjames shield on today ’ s episode : top u.n . court expected to rule on israel ’ s assault on rafah , by gaya gupta lawmaker dial up pressure on alito to recuse from election case , by zach montague trump ’ s v.p . pageant ha an unexpectedly strong contender : tom cotton , by michael c . bender decade in the making , a new era dawn for the n.c.a.a . : paying athlete directly , by billy witz haiti ’ s gang grow stronger a kenyan-led force prepares to deploy , by maria abi-habib tune in , and tell u what you think attheheadlines @ nytimes.com . for correction , emailnytnews @ nytimes.com . for more audio journalism and storytelling , downloadthe new york time audio app — available to time news subscriber on io — andsign upfor our weekly newsletter . maria abi-habibis an investigative correspondent reporting on latin america and is based in mexico city.more about maria abi-habib aaron boxermanis a time reporting fellow with a focus on international news.more about aaron boxerman advertisement","a week of diplomatic blow to israel , and call for alito ’ s recusal"
2024-03-20T23:00:13+0000,The New York Times,,"the war in gaza ha left a power vacuum , and scant planning to fill it"
2024-05-22T21:00:06+0000,The New York Times,"advertisement supported by the head of rutgers , northwestern and u.c.l.a . will be the first university leader to testify since a wave of protest encampment roiled college campus . bysharon otterman , ernesto londoñoandnicholas bogel-burroughs for the fourth time in six month , the republican-led house committee on education and the workforce is summoning school leader to washington to be questioned about accusation of antisemitism at their institution . this time , on thursday , the committee ’ s focus will be on how three diverse university reacted when pro-palestinian encampment sprung up on their lawn a part of an international wave of student activism against the war in gaza . two of the school whose leader will testify — northwestern and rutgers — made deal with protester to end their encampment peacefully . the third , the university of california , los angeles , called in the police to dismantle it encampment , but only after a violent attack by counterprotesters the night before caused the situation toveer out of control . representative virginia foxx , the chairwoman of the committee , ha blasted rutgers and northwestern for negotiating with the demonstrator , whose view she ha described a antisemitic and supportive of terrorism . but she ha also derided u.c.l.a . ’ s chancellor for calling the police too late , saying he allowed his campus to become a “ severe and pervasive hostile environment for jewish student . ” “ the committee ha a clear message for mealy-mouthed , spineless college leader : congress will not tolerate your dereliction of your duty to your jewish student , ” m . foxx said in amay 16 statementannouncing the hearing . “ no stone must go unturned while building are being defaced , campus green are being captured or graduation are being ruined . ” the three college leader do not dispute that jewish student have faced antisemitism , both on and off their campus . but all have largely defended their response , saying that they have taken step to stop it . we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",3 more college leader to face congress over antisemitism claim
2024-03-22T15:53:38+0000,The New York Times,,how biden could try to coerce israel to change it war strategy
2024-06-08T21:45:13+0000,The New York Times,"israel-hamaswar advertisement supported by the news wa met with jubilation in israel , where tension over the hostage ’ safety have been rising in recent month . byaaron boxerman , raja abdulrahimandsteve lohr israeli soldier and special operation police rescued four hostage from gaza on saturday amid a heavy air and ground assault and flew them back to israel by helicopter to be reunited with their family . the news wa met with jubilation in israel , where anxiety over the fate of the roughly 120 remaining captive have been rising after eight month of war . resident in the town of nuseirat , where the hostage were being held , reported intense bombardment during the rescue operation . khalil al-daqran , an official at a hospital in the city , told reporter that score of palestinian had been killed and that the hospital ’ s ward and corridor were packed with the wounded . rear adm . daniel hagari , the israeli military spokesman , told reporter the rescue mission took place around 11 a.m . saturday , when force located the four hostage in two separate building where they were being held by hamas militant . he said the israeli force came under fire but managed to extract the hostage in two helicopter . one special force police officer died . the freed hostage — noa argamani , 26 , almog meir jan , 22 , andrey kozlov , 27 , and shlomi ziv , 41 — were kidnapped by palestinian militant from the nova music festival during the hamas-led attack on oct . 7 , when about 1,200 people were killed in israel and 250 taken hostage , israel say . all four were in good medical condition and were transferred to a hospital in israel for further examination , the israeli authority said in a statement . the fate of the hostage ha been a source of intense political pressure on the israeli prime minister , benjamin netanyahu , amid the broader criticism that his government , for it own reason , is in no hurry to wind down the conflict or to address the issue of who should govern gaza after the war . we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",israel rescue 4 hostage in assault that killed score of gazans
2024-05-11T17:27:54+0000,The New York Times,,"before the eurovision final , a pro-palestinian march"
2024-06-11T21:34:42+0000,The New York Times,"israel-hamaswar advertisement supported by anti-israel demonstrator gathered outside the exhibition in new york that honor people at a music festival in israel who were killed in the hamas attack . bymarc tracy hundred of people protested against israel on monday night outside an exhibition in lower manhattan that commemorates the more than 360 people who were killed by hamas on oct . 7 at a rave in southern israel , prompting strong condemnation from public official . the location of the demonstration — outside an exhibition featuring portrait of the people killed at the tribe of novatrance music festival , along with car that were charred in the attack and the personal belonging that some music fan left behind — wa widely criticized from the city government to washington . mayor eric adam of new york visited the exhibition on tuesday and called the protest “ despicable . ” and andrew bates , a white house spokesman , said in a statement tuesday , “ the event at yesterday ’ s memorial to those murdered at the nova music festival are outrageous and heartbreaking . ” one of the exhibition ’ s american organizer , scooter braun — a powerful music executive who wa instrumental in the rise of justin bieber — said on tuesday that the exhibition , “ october 7th 06:29 am — the moment music stood still , ” had been extended a week , until june 22 . “ for those who chose to protest against innocent music lover who were murdered … we will dance again , ” mr . braun , the chief executive of the music conglomerate hybe america , said in a statement . the protester gathered monday evening step away from the new york stock exchange building in lower manhattan , lit flare and repeated shout including “ long live the intifada ” and “ israel , go to hell , ” according tovideos posted to social medium . we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",official condemn protest outside exhibit memorializing oct . 7 victim
2024-06-06T10:00:30+0000,The New York Times,"for more audio journalism and storytelling , download new york time audio , a new io app available for news subscriber . hosted bytracy mumford featuringmatina stevis-gridneff produced byian stewartanddavis land edited byjessica metzgerandtracy mumford on today ’ s episode : georgia appeal court stay most proceeding in trump election case , by richard fausset inside the base where israel ha detained thousand of gazans , by patrick kingsley and bilal shbair european union 2024 election : what to know , by matina stevis-gridneff and monika pronczuk u.n . chief warns of missing a key climate target , by raymond zhong boeing carry nasa astronaut to orbit in ‘ milestone ’ starliner flight , by kenneth chang tune in , and tell u what you think attheheadlines @ nytimes.com . for correction , emailnytnews @ nytimes.com . for more audio journalism and storytelling , downloadthe new york time audio app — available to time news subscriber on io — andsign upfor our weekly newsletter . matina stevis-gridneffis the brussels bureau chief for the time , leading coverage of the european union.more about matina stevis-gridneff advertisement","court delay trump ’ s georgia case , and u.n . warns of ‘ climate hell ’"
2024-04-17T07:00:12+0000,The New York Times,,columbia ’ s president tell congress that action is needed against antisemitism
2024-03-09T07:03:59+0000,The New York Times,,sweden and canada to restart payment to u.n . agency for palestinian
2024-04-02T22:06:12+0000,The New York Times,,7 aid worker killed in gaza were known for a passion for helping others
2024-04-19T15:10:38+0000,The New York Times,,ukraine aid bill clear critical hurdle in the house a democrat supply the vote
2024-03-30T04:01:28+0000,The New York Times,,dispute over conscription for ultra-orthodox jew present new threat to netanyahu
2024-06-04T20:52:59+0000,The New York Times,"advertisement supported by the republican-written bill , which the white house strongly opposes , stand little chance of becoming law after lawmaker failed to reach a bipartisan deal on penalizing measure . byrobert jimison reporting from the capitol the house voted mostly along party line on tuesday to impose sweeping sanction on official at the international criminal court in a rebuke of effort by the court ’ s top prosecutor tocharge top israeli leaderswith war crime in connection with the offensive against hamas . the bill would compel president biden to restrict entry into the united state , revoke visa and impose financial restriction on anyone at the court involved in trying to investigate , arrest , detain or prosecute “ protected person , ” or ally of the united state . it would also target anyone who provides “ financial , material or technological support ” to those effort . mr . biden ’ s adviser said he wa “ strongly opposed ” to the measure because it would impose sanction on such a broad swath of official , including court staff member and any witness involved in a potential case . but it reflected broad bipartisan anger in washington after the court ’ s top prosecutor announced late last month that he wouldseek charge against both israeli and hamas leader . the g.o.p . - written bill passed by a vote of 247 to 155 , with two republican voting present and 42 democrat crossing party line in support . representative chip roy , republican of texas and the author of the bill , said it wa a necessary step to stop the international court from acting beyond it jurisdiction and to address fear that action taken against israeli official could be a prelude to action against american official . “ what happens here is going to be coming at u and our country , ” mr . roy said on tuesday . “ that ’ s why it ’ s important to speak with one voice , with authority , with force . ” we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",house vote to impose sanction on i.c.c . official over israel prosecution
2024-04-13T14:34:40+0000,The New York Times,,iran seizes commercial ship linked to israel
2024-04-15T19:07:07+0000,The New York Times,,britain ’ s leader condemn iran ’ s attack but urge israel to show restraint
2024-03-31T21:18:32+0000,The New York Times,,"over 1,000 air reservist threaten to stop serving , a israel ’ s political crisis grows"
2024-06-06T21:23:07+0000,The New York Times,"israel-hamaswar advertisement al aqsa martyr hospital , inundated by a rapidly rising casualty count , is so full that the crowd themselves are hampering treatment . bybilal shbairanderika solomon bilal shbair reported from central gaza . a dawn broke on thursday , haitham abu ammar combed through the rubble of the school that had become a shelter to him and thousand of other displaced gazans . for hour , he helped people piece together the limb of the one they loved . “ the most painful thing i have ever experienced wa picking up those piece of flesh with my hand , ” said mr . abu ammar , a 27-year-old construction worker . “ i never thought i would have to do such a thing . ” early on thursday , israeli airstrikes hit the school complex , killing dozen of people — among them at least nine militant , the israeli military said . over the course of the day , corps and mangled limb recovered from the rubble were wrapped in blanket , stacked in truck bed and driven to al aqsa martyr hospital , the last major medical facility still operating in central gaza . israel ’ s military described the airstrike a painstakingly planned . rear adm . daniel hagari told reporter that israeli force had tracked the militant in the school-turned-shelter for three day before opening fire . “ the israeli military and the shin bet found a solution to separate the terrorist from those seeking shelter , ” he said . we are having trouble retrieving the article content . please enable javascript in your browser setting . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour time account , orsubscribefor all of the time . thank you for your patience while we verify access . already a subscriber ? log in . want all of the time ? subscribe . advertisement",‘ mama ! mama ! ’ israeli strike set off chaos at gazan hospital
2024-03-27T23:00:08+0000,The New York Times,,"israel and hezbollah trade fire , with death reported on both side"
2024-04-19T17:54:13+0000,The New York Times,,"what we know about columbia university ’ s president , nemat shafik"
2024-03-01T04:57:01+0000,The New York Times,,pro-palestinian rally becomes mass subway ride to confront kathy hochul
2024-03-23T09:01:08+0000,The New York Times,,gaza ’ s shadow death toll : body buried beneath the rubble
