Word,Index
pope,0
renews,1
call,2
gaza,3
ceasefire,4
",",5
release,6
captives,7
easter,8
address,9
francis,10
says,11
thoughts,12
go,13
facing,14
wars,15
especially,16
children,17
‘,18
forgotten,19
smile,20
’,21
.,22
renewed,23
calls,24
immediate,25
israeli,26
peace-focused,27
marking,28
sunday,29
important,30
day,31
christian,32
calendar,33
biden,34
still,35
best,36
us,37
president,38
israel,39
could,40
wish,41
meaningless,42
resolution,43
administration,44
allowed,45
un,46
security,47
council,48
pass,49
fool,50
anyone,51
united,52
states,53
ronald,54
reagan’s,55
order,56
prime,57
minister,58
menachem,59
begin,60
put,61
end,62
“,63
holocaust,64
”,65
lebanon,66
perhaps,67
best-known,68
political,69
anecdote,70
israel’s,71
1982,72
invasion,73
air,74
strikes,75
continue,76
across,77
truce,78
talks,79
struggle,80
kill,81
palestinians,82
pm,83
netanyahu,84
faces,85
pressure,86
sides,87
proposals,88
military,89
launched,90
strip,91
deadly,92
effect,93
officials,94
discuss,95
latest,96
proposed,97
deal,98
hostilities,99
exchange,100
prisoners,101
police,102
remove,103
pro-palestinian,104
students,105
paris’s,106
sciences,107
po,108
university,109
staging,110
sit-in,111
hunger,112
strike,113
french,114
leave,115
campus,116
without,117
incident,118
officers,119
entered,120
paris,121
institute,122
studies,123
(,124
),125
removed,126
student,127
activists,128
occupied,129
buildings,130
protest,131
war,132
mass,133
graves,134
found,135
southern,136
hospital,137
raided,138
forces,139
search,140
teams,141
say,142
they’ve,143
uncovered,144
hundreds,145
bodies,146
grounds,147
nasser,148
medical,149
complex,150
city,151
khan,152
younis,153
recent,154
withdrawal,155
area,156
nan,157
:,158
list,159
key,160
events,161
183,162
nations,163
chief,164
campaign,165
brought,166
relentless,167
death,168
destruction,169
here’s,170
things,171
stand,172
saturday,173
april,174
6,175
2024,176
relatives,177
cages,178
locked,179
blocked,180
roads,181
tel,182
aviv,183
calling,184
benjamin,185
reach,186
loved,187
ones,188
icj,189
rules,190
must,191
stop,192
rafah,193
operation,194
what’s,195
next,196
?,197
international,198
court,199
justice,200
issued,201
legally,202
binding,203
halt,204
called,205
southernmost,206
town,207
palestinian,208
fighters,209
accuses,210
commission,211
inquiry,212
groups,213
crimes,214
breakdown,215
nations-backed,216
concluded,217
committed,218
hamas,219
well,220
eight-month,221
conflict,222
uncovering,223
grave,224
gaza’s,225
need,226
know,227
300,228
retrieved,229
two,230
largest,231
hospitals,232
sieges,233
month,234
discovery,235
inside,236
week,237
met,238
grief,239
horror,240
drawn,241
condemnation,242
transparent,243
credible,244
investigation,245
uk,246
block,247
arms,248
sales,249
foreign,250
david,251
cameron,252
british,253
government,254
coming,255
growing,256
weapons,257
supplies,258
continues,259
kingdom,260
companies,261
reviewing,262
legal,263
advice,264
matter,265
said,266
fires,267
rockets,268
causing,269
first,270
sirens,271
months,272
army,273
eight,274
fired,275
targeting,276
central,277
including,278
prompting,279
sound,280
time,281
several,282
pakistani,283
heckle,284
german,285
ambassador,286
pakistan,287
ambassador’s,288
alleged,289
hypocrisy,290
speaking,291
human,292
rights,293
forum,294
germany,295
stifles,296
criticism,297
assault,298
demonstrators,299
quickly,300
asma,301
jahangir,302
conference,303
authorities,304
pushed,305
dotted,306
red,307
lines,308
way,309
ignored,310
western,311
allies,312
conduct,313
major,314
faced,315
consequences,316
tanks,317
rolled,318
rafah’s,319
centre,320
announced,321
controls,322
entire,323
philadelphi,324
corridor,325
land,326
runs,327
along,328
egypt’s,329
border,330
governorate,331
hezbollah,332
keep,333
fighting,334
presses,335
nasrallah,336
support,337
final,338
cross-border,339
displaces,340
thousands,341
people,342
head,343
powerful,344
lebanese,345
armed,346
group,347
residents,348
northern,349
would,350
able,351
return,352
home,353
start,354
school,355
year,356
pressed,357
cairo,358
substantial,359
answer,360
solution,361
negotiations,362
even,363
thwarts,364
secure,365
40-day,366
ramadan,367
delegation,368
left,369
egypt,370
agreement,371
reached,372
thwarted,373
mediators,374
attempts,375
broker,376
muslim,377
holy,378
timeline,379
words,380
al,381
jazeera,382
looks,383
washington’s,384
main,385
statements,386
positions,387
policy,388
shifted,389
washington,390
dc,391
–,392
prompts,393
mounting,394
concerns,395
slowly,396
notched,397
simultaneously,398
continuing,399
arm,400
ally,401
happened,402
attacked,403
twice,404
since,405
killing,406
tens,407
horrific,408
circumstances,409
thirteen,410
21,411
killed,412
so-called,413
safe,414
al-mawasi,415
civilian,416
women,417
girls,418
jazeera’s,419
hind,420
khoudary,421
reported,422
tuesday,423
attacks,424
un-run,425
least,426
40,427
spokesman,428
al-aqsa,429
three,430
times,431
clinical,432
capacity,433
dead,434
wounded,435
arrive,436
attack,437
sheltering,438
displaced,439
nuseirat,440
camp,441
mainly,442
according,443
local,444
silence,445
guns,446
speech,447
palestine,448
secretary,449
general,450
antonio,451
guterres,452
six,453
nothing,454
justify,455
collective,456
punishment,457
taking,458
place,459
193,460
discovered,461
monday,462
—,463
one,464
al-shifa,465
second,466
beit,467
lahiya,468
16,469
set,470
impose,471
sanctions,472
unit,473
abuses,474
report,475
fight,476
units,477
violations,478
imposed,479
media,480
outlet,481
planning,482
step,483
journalist,484
freed,485
12-hour,486
arrest,487
watchdogs,488
decry,489
ismail,490
al-ghoul’s,491
