Word,Index
tanks,0
push,1
khan,2
younis,3
israel,4
pounds,5
north,6
gaza,7
-,8
bbc,9
news,10
several,11
countries,12
joined,13
un,14
calling,15
investigation,16
deaths,17
100,18
palestinians,19
aid,20
delivery,21
.,22
least,23
112,24
people,25
killed,26
760,27
injured,28
thursday,29
crowded,30
around,31
lorries,32
hamas,33
accused,34
firing,35
civilians,36
",",37
said,38
died,39
crush,40
fired,41
warning,42
shots,43
uk,44
foreign,45
secretary,46
called,47
situation,48
"""",49
horrific,50
repeated,51
calls,52
sustained,53
pause,54
fighting,55
statement,56
friday,57
david,58
cameron,59
tragedy,60
could,61
separated,62
inadequate,63
supplies,64
described,65
unacceptable,66
must,67
urgent,68
accountability,69
happen,70
france,71
italy,72
germany,73
also,74
independent,75
convoy,76
french,77
president,78
emmanuel,79
macron,80
targeted,81
israeli,82
soldiers,83
general,84
antónio,85
guterres,86
wrote,87
social,88
media,89
:,90
condemn,91
thursday's,92
incident,93
reportedly,94
seeking,95
life-saving,96
desperate,97
need,98
help,99
including,100
able,101
deliver,102
week,103
gaza's,104
hamas-run,105
health,106
ministry,107
massacre,108
security,109
council,110
held,111
closed-door,112
emergency,113
meeting,114
discuss,115
algeria,116
arab,117
representative,118
body,119
put,120
forward,121
non-binding,122
blaming,123
forces,124
opening,125
fire,126
us,127
blocked,128
according,129
ap,130
agency,131
citing,132
palestinian,133
ambassador,134
riyad,135
mansour,136
spoke,137
reporters,138
afterwards,139
envoy,140
robert,141
wood,142
facts,143
remained,144
unclear,145
took,146
place,147
shortly,148
04:45,149
(,150
02:45,151
gmt,152
),153
nabulsi,154
roundabout,155
south-western,156
edge,157
city,158
ramzi,159
mohammed,160
rihan,161
stampede,162
arabic,163
saw,164
informed,165
shipment,166
flour,167
would,168
arrive,169
al-nabulsi,170
street,171
shooting,172
went,173
get,174
feed,175
children,176
trucks,177
arrived,178
gunfire,179
entered,180
headed,181
towards,182
tried,183
first,184
bag,185
truck,186
began,187
mr,188
carried,189
hospital,190
cart,191
x-rays,192
delayed,193
due,194
lack,195
electricity,196
khaled,197
al-tarawish,198
wounded,199
surgery,200
postponed,201
fuel,202
al-awada,203
crowd,204
ran,205
car,206
awda,207
told,208
needed,209
operation,210
diesel,211
three,212
days,213
later,214
want,215
provide,216
undergo,217
treatment,218
30,219
carrying,220
egyptian,221
making,222
way,223
along,224
defense,225
idf,226
humanitarian,227
corridor,228
securing,229
chief,230
spokesman,231
rear,232
adm,233
daniel,234
hagari,235
surrounded,236
climbing,237
violently,238
pushing,239
even,240
trampling,241
gazans,242
death,243
looting,244
unfortunate,245
resulted,246
dozens,247
cautiously,248
disperse,249
mob,250
pulled,251
back,252
hundreds,253
became,254
thousands,255
things,256
got,257
hand,258
another,259
lt,260
col,261
peter,262
lerner,263
approached,264
checkpoint,265
70,266
metres,267
230,268
feet,269
away,270
ignored,271
fearing,272
posed,273
threat,274
opened,275
approaching,276
limited,277
response,278
rejected,279
idf's,280
account,281
undeniable,282
evidence,283
direct,284
citizens,285
headshots,286
aimed,287
immediate,288
killing,289
came,290
hours,291
announced,292
"30,000",293
"21,000",294
women,295
since,296
start,297
current,298
conflict,299
7,300
october,301
"7,000",302
missing,303
"70,450",304
gutteres,305
added,306
appalled,307
tragic,308
human,309
toll,310
"70,000",311
reiterate,312
call,313
ceasefire,314
unconditional,315
release,316
hostages,317
executive,318
director,319
médecins,320
sans,321
frontières,322
doctors,323
without,324
borders,325
natalie,326
roberts,327
delivering,328
starving,329
population,330
adequate,331
risking,332
disaster,333
speaking,334
radio,335
4's,336
today,337
programme,338
know,339
convoys,340
last,341
weeks,342
unable,343
anything,344
eat,345
colleagues,346
they're,347
animal,348
food,349
go,350
end,351
sometimes,352
completely,353
minute,354
trying,355
region,356
sort,357
always,358
going,359
looming,360
famine,361
territory,362
estimated,363
"300,000",364
living,365
little,366
clean,367
water,368
military,369
launched,370
large-scale,371
air,372
ground,373
campaign,374
destroy,375
proscribed,376
terrorist,377
organisation,378
others,379
gunmen,380
"1,200",381
southern,382
253,383
kuehne+nagel,384
milton,385
keynes,386
',387
vandalised,388
palestine,389
action,390
joe,391
biden,392
hopes,393
see,394
deal,395
israel-gaza,396
war,397
time,398
ramadan,399
muslim,400
holy,401
month,402
members,403
faith,404
fast,405
dawn,406
sunset,407
begin,408
10,409
11,410
march,411
asked,412
whether,413
expected,414
i'm,415
hoping,416
we're,417
still,418
working,419
real,420
hard,421
comes,422
amid,423
tense,424
negotiations,425
pressure,426
builds,427
curtail,428
proposed,429
40-day,430
operations,431
well,432
increased,433
flow,434
source,435
close,436
talks,437
reuters,438
include,439
agreement,440
prisoners,441
exchange,442
ratio,443
one,444
