Word,Index
',0
loved,1
lost,2
:,3
piano,4
ensemble,5
presents,6
new,7
classical,8
music,9
restored,10
",",11
startling,12
exciting,13
discoveries,14
filter,15
even,16
data-drenched,17
internet-accelerated,18
world,19
.,20
community,21
surprised,22
thrilled,23
around,24
year,25
half,26
ago,27
long-lost,28
score,29
felix,30
mendelssohn,31
ignaz,32
moscheles,33
came,34
light,35
2009,36
hiatus,37
close,38
200,39
years,40
former,41
glory,42
unveiled,43
public.internationally,44
renowned,45
pianist,46
tomer,47
lev,48
multipiano,49
proffering,50
work,51
local,52
audiences,53
israeli,54
philharmonic,55
orchestra,56
(,57
ipo,58
),59
tow.the,60
four-date,61
series,62
kicks,63
charles,64
bronfman,65
auditorium,66
tel,67
aviv,68
tonight,69
april,70
3,71
7,72
p.m,73
followed,74
two,75
concerts,76
4,77
6,78
8,79
9,80
respectively,81
closing,82
jerusalem,83
theatre,84
fantasy,85
variations,86
theme,87
weber,88
aka,89
fantasia,90
fascinating,91
subtext,92
featured,93
forthcoming,94
program,95
also,96
includes,97
intriguing,98
highly,99
poignant,100
2012,101
composer,102
arie,103
levanon,104
died,105
october,106
31,107
91,108
called,109
land,110
four,111
languages.the,112
full,113
lineup,114
orawa,115
polish,116
wojciech,117
kilar,118
2013,119
dvorak&rsquo;s,120
carnival,121
overture,122
beethoven&rsquo;s,123
violin,124
concerto,125
major,126
vadim,127
gluzman,128
soloist.fantasia,129
perfect,130
marketing,131
springboard,132
regarding,133
performing,134
artists,135
debut,136
set,137
hit,138
parade,139
time,140
original,141
ivory,142
ticklers,143
composers,144
studied,145
while.lev,146
says,147
venture,148
destined,149
get,150
ticket,151
offices,152
rolling,153
&,154
ldquo;the,155
based,156
rdquo,157
;,158
explains,159
question,160
riding,161
high,162
popularity,163
stakes,164
day,165
ldquo;it,166
quite,167
story,168
1833,169
enjoying,170
best,171
stage,172
career,173
superstar,174
england,175
country,176
admired,177
rdquo;that,178
public,179
profile,180
led,181
offer,182
good,183
refuse,184
ldquo;his,185
teacher,186
lived,187
london,188
german,189
jewish,190
origin,191
idolized,192
virtuosi,193
europe,194
great,195
virtuosos,196
recognized,197
lofty,198
societal,199
circles,200
ldquo;they,201
invited,202
key,203
performers,204
charity,205
event,206
aegis,207
royal,208
palace,209
high-brow,210
notes.the,211
organizers,212
sought,213
something,214
would,215
justice,216
occasion,217
wow,218
audience,219
chose,220
proven,221
product,222
asked,223
run,224
nbsp,225
went,226
biggest,227
musical,228
celebrities,229
performed,230
parts,231
recital,232
event's,233
highlight,234
jointly,235
prepare,236
one,237
numbers,238
gypsy,239
march,240
written,241
theater,242
production,243
preciosa,244
everyone,245
mad,246
rdquo;back,247
early,248
19th,249
century,250
musicians,251
frequently,252
allowed,253
stray,254
compositional,255
straight,256
narrow,257
suited,258
ground,259
improvise,260
excellent,261
improvisers,262
played,263
like,264
jam,265
session,266
take,267
tune,268
chords,269
chart,270
comes,271
across,272
ldquo;you,273
playing,274
elaborate,275
plays,276
line,277
charts,278
switch,279
open,280
approach,281
rdquo;it,282
worked,283
well,284
amazing,285
success,286
remarks,287
noting,288
matter,289
reprising,290
crowd-pleaser,291
"""",292
plan,293
second,294
busy,295
decided,296
turn,297
improvisations,298
composition,299
added,300
hence,301
format,302
week&rsquo;s,303
concerts.not,304
exactly,305
scratching,306
presumably,307
response,308
efforts,309
must,310
rubbing,311
hands,312
anticipation,313
thrilling,314
elsewhere,315
however,316
yarns,317
dramatic,318
twist,319
lsquo;shortly,320
concert,321
sheet,322
disappeared,323
forgotten,324
rdquo;there,325
drama,326
14,327
doubleheader,328
38,329
undeterred,330
partner,331
box,332
office,333
make,334
hay,335
sun,336
still,337
filtered,338
memory,339
triumph,340
lingered,341
ldquo;moscheles,342
tried,343
restore,344
transpired,345
easier,346
said,347
done,348
ldquo;in,349
fact,350
different,351
didn&rsquo;t,352
really,353
manage,354
rdquo;nevertheless,355
say,356
certain,357
commercial,358
quarters,359
regain,360
hang,361
long,362
enough,363
ldquo;suddenly,364
discovered,365
manuscript,366
archives,367
saint,368
petersburg,369
places,370
chuckles,371
proved,372
game,373
changer.plenty,374
elbow,375
grease,376
invested,377
could,378
become,379
practical,380
proposition,381
performance,382
nbsp;that,383
precisely,384
counterparts,385
ndash,386
berenika,387
glixman,388
nimrod,389
meity-haftel,390
lior,391
lifshitz,392
past,393
berlin,394
couple,395
weeks,396
carnegie,397
hall,398
york.sheet,399
languishing,400
deplorable,401
international,402
began,403
gearing,404
bicentennial,405
mendelssohn&rsquo;s,406
birth,407
mess,408
ldquo;there,409
many,410
things,411
scribbled,412
pages,413
paper,414
bad,415
state,416
advises,417
took,418
experts,419
conservatory,420
moscow,421
ink,422
eventually,423
copy,424
all&rsquo;s,425
ends,426
got,427
wind,428
developments,429
chief,430
restorer,431
come,432
israel,433
give,434
talk,435
whole,436
process,437
much,438
quartet,439
leader&rsquo;s,440
surprise,441
pleasure,442
lecturer,443
gave,444
lecture.lev,445
determined,446
grace,447
commensurate,448
respect,449
revive,450
interest,451
aforementioned,452
worldwide,453
date,454
filmed,455
recorded,456
recording,457
due,458
soon,459
hyperion,460
label,461
rendition,462
ldquo;we,463
ensembles,464
perform,465
notes,466
proudly.lev,467
play,468
israellev,469
able,470
lovely,471
circle,472
york,473
see,474
sort,475
resurrection,476
bringing,477
back,478
surface,479
responded,480
amazingly,481
far,482
standing,483
ovations,484
everywhere,485
surely,486
rapturous,487
applause,488
present,489
rightly,490
received,491
feeds,492
sounds,493
rhythms,494
sensibilities,495
cultures,496
romanian-born,497
considered,498
core,499
israel&mdash;hebrew,500
yiddish,501
arabic,502
ladino.levanon,503
wrote,504
piece,505
performs,506
works,507
pianos,508
six,509
eight,510
without,511
orchestra.lev,512
believes,513
particularly,514
ripe,515
resound,516
halls,517
hopefully,518
change,519
mindsets,520
possibly,521
difference,522
dismal,523
regional,524
affairs,525
ldquo;when,526
started,527
touring,528
internationally,529
saw,530
people,531
don&rsquo;t,532
know,533
israel&rsquo;s,534
multiculturalism,535
wanted,536
reflect,537
pluralist,538
face,539
rdquo;levanon,540
ldquo;he,541
composed,542
languages,543
traditional,544
tunes,545
message,546
live,547
together,548
harmoniously,549
maybe,550
learn,551
real,552
rdquo;the,553
thus,554
wake,555
feels,556
cross-cultural,557
creation,558
taken,559
significance,560
ldquo;after,561
levanon&rsquo;s,562
passing,563
everything,564
months,565
value,566
relevant,567
ever,568
rdquo;for,569
tickets,570
information,571
https,572
/,573
www.ipo.co.il/en,574
jerusalem’s,575
mughrabi,576
bridge,577
news,578
spark,579
jordan,580
crisis,581
?,582
-,583
analysis,584
week,585
number,586
voices,587
linked,588
ruling,589
likud,590
party,591
claimed,592
links,593
temple,594
mount,595
area,596
near,597
western,598
wall,599
used,600
non-muslims,601
visit,602
danger,603
collapse,604
transportation,605
minister,606
mk,607
miri,608
regev,609
forbidden,610
wait,611
another,612
moment,613
demolition,614
construction,615
appropriate,616
replacement,617
concerns,618
ostensibly,619
month,620
engineer&rsquo;s,621
report,622
wood,623
constructed,624
enable,625
safe,626
use,627
raises,628
questions,629
previous,630
government,631
benjamin,632
netanyahu,633
replace,634
reinforce,635
recently,636
despite,637
decade,638
suddenly,639
unsafe,640
potential,641
sensitive,642
holy,643
site,644
emerge,645
kingdom,646
working,647
repair,648
ties,649
changes,650
status,651
quo,652
attempts,653
alter,654
met,655
protests,656
conspiracies,657
spreading,658
al-aqsa,659
kinds,660
conflict,661
including,662
recent,663
gaza,664
war,665
2011,666
temporary,667
structure,668
often,669
ramp,670
neighborhood,671
existed,672
underneath,673
closed,674
safety,675
reports,676
ldquo;officials,677
mugrabi,678
sunday,679
three,680
days,681
municipality,682
deadline,683
leading,684
plaza,685
city,686
engineer,687
shlomo,688
eshkol,689
warned,690
letters,691
prime,692
heritage,693
foundation,694
oversees,695
let&rsquo;s,696
recall,697
happened,698
10,699
originally,700
november,701
28,702
destroy,703
intervened,704
stop,705
worried,706
triggering,707
riots,708
arab,709
letter,710
sent,711
last,712
insisted,713
entrance,714
built,715
cancel,716
egypt,717
december,718
12,719
oddly,720
issue,721
headlines,722
somehow,723
continued,724
exist,725
modifications,726
2014,727
emerged,728
part,729
ldquo;erected,730
less,731
officially,732
opened,733
ordered,734
dismantled,735
became,736
clear,737
project,738
approved,739
authorities,740
amid,741
mounting,742
jordanian,743
erected,744
collapsed,745
partially,746
2004,747
permanent,748
seen,749
ldquo;status,750
quo&rdquo,751
threatening,752
peace,753
region,754
appears,755
forego,756
order,757
maintain,758
calm,759
calls,760
remove,761
members,762
known,763
always,764
resulted,765
controversy,766
creating,767
stumbling,768
block,769
jordan&rsquo;s,770
foreign,771
ayman,772
safadi,773
counterpart,774
times,775
ldquo;semblance,776
normality,777
deal,778
supply,779
water,780
naftali,781
bennett,782
outspoken,783
importance,784
sour,785
point,786
ran,787
controversies,788
dating,789
1990s,790
progress,791
plans,792
develop,793
arava,794
valley,795
harshly,796
slammed,797
25-year,798
anniversary,799
agreement,800
countries,801
demanding,802
return,803
lands,804
2017,805
incident,806
security,807
guard,808
jordanians,809
killed,810
canceled,811
short,812
trip,813
uae,814
eve,815
elections,816
apparently,817
nixed,818
addition,819
crown,820
prince,821
relations,822
lowest,823
critiquing,824
accusing,825
