Word,Index
pope,0
renews,1
call,2
gaza,3
ceasefire,4
",",5
release,6
captive,7
easter,8
address,9
francis,10
say,11
thought,12
go,13
facing,14
war,15
especially,16
child,17
‘,18
forgotten,19
smile,20
’,21
.,22
ha,23
renewed,24
immediate,25
israeli,26
peace-focused,27
marking,28
sunday,29
important,30
day,31
christian,32
calendar,33
biden,34
still,35
best,36
u,37
president,38
israel,39
could,40
wish,41
meaningless,42
resolution,43
administration,44
allowed,45
un,46
security,47
council,48
pas,49
fool,50
anyone,51
united,52
state,53
ronald,54
reagan,55
order,56
prime,57
minister,58
menachem,59
begin,60
put,61
end,62
“,63
holocaust,64
”,65
lebanon,66
perhaps,67
best-known,68
political,69
anecdote,70
1982,71
invasion,72
air,73
strike,74
continue,75
across,76
truce,77
talk,78
struggle,79
kill,80
palestinians,81
pm,82
netanyahu,83
face,84
pressure,85
side,86
proposal,87
military,88
launched,89
strip,90
deadly,91
effect,92
official,93
discus,94
latest,95
proposed,96
deal,97
hostility,98
exchange,99
prisoner,100
police,101
remove,102
pro-palestinian,103
student,104
paris,105
science,106
po,107
university,108
students,109
staging,110
sit-in,111
hunger,112
french,113
leave,114
campus,115
without,116
incident,117
officer,118
entered,119
institute,120
study,121
(,122
),123
removed,124
activist,125
occupied,126
building,127
protest,128
mass,129
graf,130
found,131
southern,132
hospital,133
raided,134
force,135
search,136
team,137
uncovered,138
hundred,139
body,140
ground,141
nasser,142
medical,143
complex,144
city,145
khan,146
younis,147
wa,148
recent,149
withdrawal,150
area,151
nan,152
:,153
list,154
key,155
event,156
183,157
nations,158
chief,159
campaign,160
brought,161
relentless,162
death,163
destruction,164
thing,165
stand,166
saturday,167
april,168
6,169
2024,170
relative,171
cage,172
relatives,173
locked,174
blocked,175
road,176
tel,177
aviv,178
calling,179
benjamin,180
reach,181
loved,182
one,183
icj,184
rule,185
must,186
stop,187
rafah,188
operation,189
next,190
?,191
international,192
court,193
justice,194
issued,195
legally,196
binding,197
halt,198
called,199
southernmost,200
town,201
palestinian,202
fighter,203
accuses,204
commission,205
inquiry,206
group,207
crime,208
breakdown,209
nations-backed,210
concluded,211
committed,212
hamas,213
well,214
eight-month,215
conflict,216
uncovering,217
grave,218
need,219
know,220
300,221
retrieved,222
two,223
largest,224
siege,225
month,226
discovery,227
inside,228
week,229
met,230
grief,231
horror,232
drawn,233
condemnation,234
nation,235
transparent,236
credible,237
investigation,238
uk,239
block,240
arm,241
sale,242
foreign,243
david,244
cameron,245
british,246
government,247
coming,248
growing,249
weapon,250
supply,251
continues,252
kingdom,253
company,254
reviewing,255
legal,256
advice,257
matter,258
said,259
fire,260
rocket,261
causing,262
first,263
siren,264
army,265
eight,266
fired,267
targeting,268
central,269
including,270
prompting,271
sound,272
time,273
several,274
pakistani,275
heckle,276
german,277
ambassador,278
activists,279
pakistan,280
alleged,281
hypocrisy,282
speaking,283
human,284
right,285
forum,286
germany,287
stifle,288
criticism,289
assault,290
demonstrator,291
quickly,292
asma,293
jahangir,294
conference,295
authority,296
pushed,297
dotted,298
red,299
line,300
way,301
ignored,302
western,303
ally,304
conduct,305
major,306
faced,307
consequence,308
tank,309
rolled,310
centre,311
announced,312
control,313
entire,314
philadelphi,315
corridor,316
land,317
run,318
along,319
egypt,320
border,321
governorate,322
hezbollah,323
keep,324
fighting,325
press,326
nasrallah,327
support,328
final,329
cross-border,330
displaces,331
thousand,332
people,333
head,334
powerful,335
lebanese,336
armed,337
resident,338
northern,339
would,340
able,341
return,342
home,343
start,344
school,345
year,346
pressed,347
cairo,348
substantial,349
answer,350
solution,351
negotiation,352
even,353
thwart,354
secure,355
40-day,356
ramadan,357
delegation,358
left,359
agreement,360
reached,361
thwarted,362
mediator,363
attempt,364
broker,365
muslim,366
holy,367
timeline,368
word,369
al,370
jazeera,371
look,372
washington,373
main,374
statement,375
position,376
policy,377
shifted,378
dc,379
–,380
prompt,381
mounting,382
concern,383
slowly,384
notched,385
simultaneously,386
continuing,387
happened,388
attacked,389
twice,390
since,391
killing,392
ten,393
horrific,394
circumstance,395
thirteen,396
21,397
killed,398
so-called,399
safe,400
al-mawasi,401
civilian,402
woman,403
girl,404
hind,405
khoudary,406
reported,407
tuesday,408
attack,409
un-run,410
least,411
40,412
spokesman,413
al-aqsa,414
three,415
clinical,416
capacity,417
dead,418
wounded,419
arrive,420
sheltering,421
displaced,422
nuseirat,423
camp,424
mainly,425
according,426
local,427
silence,428
gun,429
speech,430
palestine,431
secretary,432
general,433
antonio,434
guterres,435
six,436
nothing,437
justify,438
collective,439
punishment,440
taking,441
place,442
193,443
discovered,444
monday,445
—,446
al-shifa,447
second,448
beit,449
lahiya,450
16,451
set,452
impose,453
sanction,454
unit,455
abuse,456
report,457
fight,458
violation,459
imposed,460
medium,461
outlet,462
planning,463
step,464
journalist,465
freed,466
12-hour,467
arrest,468
media,469
watchdog,470
decry,471
ismail,472
al-ghoul,473
trapped,474
arabic,475
correspondent,476
released,477
arrested,478
12,479
hour,480
severely,481
beaten,482
theatrics,483
genocidal,484
impunity,485
us,486
rendering,487
draft,488
bosnian,489
genocide,490
may,491
1,492
submitted,493
assembly,494
unga,495
declare,496
july,497
11,498
remembrance,499
1995,500
srebrenica,501
document,502
