Word,Index
tank,0
push,1
khan,2
younis,3
israel,4
pound,5
north,6
gaza,7
-,8
bbc,9
news,10
several,11
country,12
joined,13
un,14
calling,15
investigation,16
death,17
100,18
palestinian,19
aid,20
delivery,21
.,22
least,23
112,24
people,25
killed,26
760,27
injured,28
thursday,29
crowded,30
around,31
lorry,32
hamas,33
accused,34
firing,35
civilian,36
",",37
said,38
died,39
crush,40
fired,41
warning,42
shot,43
uk,44
foreign,45
secretary,46
called,47
situation,48
``,49
horrific,50
repeated,51
call,52
sustained,53
pause,54
fighting,55
statement,56
friday,57
david,58
cameron,59
tragedy,60
could,61
separated,62
inadequate,63
supply,64
described,65
unacceptable,66
must,67
urgent,68
accountability,69
happen,70
france,71
italy,72
germany,73
also,74
independent,75
convoy,76
french,77
president,78
emmanuel,79
macron,80
targeted,81
israeli,82
soldier,83
general,84
antónio,85
guterres,86
wrote,87
social,88
medium,89
:,90
condemn,91
's,92
incident,93
reportedly,94
seeking,95
life-saving,96
desperate,97
need,98
help,99
including,100
ha,101
able,102
deliver,103
week,104
hamas-run,105
health,106
ministry,107
massacre,108
security,109
council,110
held,111
closed-door,112
emergency,113
meeting,114
discus,115
algeria,116
arab,117
representative,118
body,119
put,120
forward,121
non-binding,122
blaming,123
force,124
opening,125
fire,126
u,127
blocked,128
according,129
ap,130
agency,131
citing,132
ambassador,133
riyad,134
mansour,135
spoke,136
reporter,137
afterwards,138
envoy,139
robert,140
wood,141
fact,142
remained,143
unclear,144
took,145
place,146
shortly,147
04:45,148
(,149
02:45,150
gmt,151
),152
nabulsi,153
roundabout,154
south-western,155
edge,156
city,157
ramzi,158
mohammed,159
rihan,160
wa,161
stampede,162
arabic,163
saw,164
informed,165
shipment,166
flour,167
would,168
arrive,169
al-nabulsi,170
street,171
shooting,172
went,173
get,174
feed,175
child,176
truck,177
arrived,178
gunfire,179
entered,180
headed,181
towards,182
tried,183
first,184
bag,185
began,186
mr,187
carried,188
hospital,189
cart,190
x-ray,191
delayed,192
due,193
lack,194
electricity,195
khaled,196
al-tarawish,197
wounded,198
surgery,199
postponed,200
fuel,201
al-awada,202
crowd,203
ran,204
car,205
awda,206
told,207
needed,208
operation,209
diesel,210
three,211
day,212
later,213
want,214
provide,215
undergo,216
treatment,217
30,218
carrying,219
egyptian,220
making,221
way,222
along,223
defense,224
idf,225
humanitarian,226
corridor,227
securing,228
chief,229
spokesman,230
rear,231
adm,232
daniel,233
hagari,234
surrounded,235
climbing,236
violently,237
pushing,238
even,239
trampling,240
gazans,241
looting,242
unfortunate,243
resulted,244
dozen,245
cautiously,246
disperse,247
mob,248
pulled,249
back,250
hundred,251
became,252
thousand,253
thing,254
got,255
hand,256
another,257
lt,258
col,259
peter,260
lerner,261
approached,262
checkpoint,263
70,264
metre,265
230,266
foot,267
away,268
ignored,269
fearing,270
posed,271
threat,272
opened,273
approaching,274
limited,275
response,276
rejected,277
account,278
undeniable,279
evidence,280
direct,281
citizen,282
headshot,283
aimed,284
immediate,285
killing,286
came,287
hour,288
announced,289
"30,000",290
"21,000",291
woman,292
since,293
start,294
current,295
conflict,296
7,297
october,298
"7,000",299
missing,300
"70,450",301
gutteres,302
added,303
appalled,304
tragic,305
human,306
toll,307
"70,000",308
reiterate,309
ceasefire,310
unconditional,311
release,312
hostage,313
executive,314
director,315
médecins,316
sans,317
frontières,318
doctor,319
without,320
border,321
natalie,322
delivering,323
starving,324
population,325
adequate,326
risking,327
disaster,328
speaking,329
radio,330
4,331
today,332
programme,333
know,334
