Word,Index
',0
loved,1
lost,2
:,3
piano,4
ensemble,5
present,6
new,7
classical,8
music,9
restored,10
",",11
startling,12
exciting,13
discovery,14
filter,15
even,16
data-drenched,17
internet-accelerated,18
world,19
.,20
community,21
wa,22
surprised,23
thrilled,24
around,25
year,26
half,27
ago,28
long-lost,29
score,30
felix,31
mendelssohn,32
ignaz,33
moscheles,34
came,35
light,36
2009,37
hiatus,38
close,39
200,40
former,41
glory,42
unveiled,43
public.internationally,44
renowned,45
pianist,46
tomer,47
lev,48
multipiano,49
proffering,50
work,51
local,52
audience,53
israeli,54
philharmonic,55
orchestra,56
(,57
ipo,58
),59
tow.the,60
four-date,61
series,62
kick,63
charles,64
bronfman,65
auditorium,66
tel,67
aviv,68
tonight,69
april,70
3,71
7,72
p.m,73
followed,74
two,75
concert,76
4,77
6,78
8,79
9,80
respectively,81
closing,82
jerusalem,83
theatre,84
fantasy,85
variations,86
theme,87
weber,88
aka,89
fantasia,90
ha,91
fascinating,92
subtext,93
featured,94
forthcoming,95
program,96
also,97
includes,98
intriguing,99
highly,100
poignant,101
2012,102
composer,103
arie,104
levanon,105
died,106
october,107
31,108
91,109
called,110
land,111
four,112
languages.the,113
full,114
lineup,115
orawa,116
polish,117
wojciech,118
kilar,119
2013,120
dvorak,121
&,122
rsquo,123
;,124
carnival,125
overture,126
beethoven,127
violin,128
concerto,129
major,130
vadim,131
gluzman,132
soloist.fantasia,133
perfect,134
marketing,135
springboard,136
regarding,137
performing,138
artist,139
debut,140
set,141
hit,142
parade,143
time,144
original,145
ivory,146
tickler,147
studied,148
while.lev,149
say,150
venture,151
destined,152
get,153
ticket,154
office,155
rolling,156
ldquo,157
based,158
rdquo,159
explains,160
question,161
riding,162
high,163
popularity,164
stake,165
day,166
quite,167
story,168
1833,169
enjoying,170
best,171
stage,172
career,173
superstar,174
england,175
country,176
admired,177
public,178
profile,179
led,180
offer,181
good,182
refuse,183
teacher,184
lived,185
london,186
german,187
jewish,188
origin,189
idolized,190
virtuoso,191
europe,192
great,193
recognized,194
lofty,195
societal,196
circle,197
invited,198
key,199
performer,200
charity,201
event,202
aegis,203
royal,204
palace,205
high-brow,206
notes.the,207
organizer,208
sought,209
something,210
would,211
justice,212
occasion,213
wow,214
chose,215
proven,216
product,217
asked,218
run,219
nbsp,220
went,221
biggest,222
musical,223
celebrity,224
performed,225
part,226
recital,227
's,228
highlight,229
jointly,230
prepare,231
one,232
number,233
gypsy,234
march,235
written,236
theater,237
production,238
preciosa,239
everyone,240
mad,241
back,242
early,243
19th,244
century,245
musician,246
frequently,247
allowed,248
stray,249
compositional,250
straight,251
narrow,252
suited,253
ground,254
improvise,255
variation,256
excellent,257
improvisers,258
played,259
like,260
jam,261
session,262
take,263
tune,264
chord,265
chart,266
come,267
across,268
playing,269
elaborate,270
play,271
line,272
switch,273
open,274
approach,275
worked,276
well,277
amazing,278
success,279
remark,280
noting,281
matter,282
reprising,283
crowd-pleaser,284
``,285
plan,286
second,287
busy,288
decided,289
turn,290
improvisation,291
composition,292
added,293
hence,294
format,295
week,296
concerts.not,297
exactly,298
scratching,299
presumably,300
response,301
effort,302
must,303
rubbing,304
hand,305
anticipation,306
thrilling,307
elsewhere,308
however,309
yarn,310
dramatic,311
twist,312
lsquo,313
shortly,314
sheet,315
disappeared,316
forgotten,317
drama,318
14,319
doubleheader,320
38,321
undeterred,322
partner,323
box,324
make,325
hay,326
sun,327
still,328
filtered,329
memory,330
triumph,331
lingered,332
tried,333
restore,334
transpired,335
easier,336
said,337
done,338
fact,339
different,340
really,341
manage,342
nevertheless,343
certain,344
commercial,345
quarter,346
regain,347
hang,348
long,349
enough,350
suddenly,351
discovered,352
manuscript,353
archive,354
saint,355
petersburg,356
place,357
chuckle,358
proved,359
game,360
changer.plenty,361
elbow,362
grease,363
invested,364
could,365
become,366
practical,367
proposition,368
performance,369
precisely,370
counterpart,371
ndash,372
berenika,373
glixman,374
nimrod,375
meity-haftel,376
lior,377
lifshitz,378
past,379
berlin,380
couple,381
carnegie,382
hall,383
york.sheet,384
languishing,385
deplorable,386
international,387
began,388
gearing,389
bicentennial,390
birth,391
mess,392
many,393
thing,394
scribbled,395
page,396
paper,397
bad,398
state,399
advises,400
took,401
expert,402
conservatory,403
moscow,404
ink,405
eventually,406
copy,407
end,408
got,409
wind,410
development,411
chief,412
restorer,413
israel,414
give,415
talk,416
whole,417
process,418
much,419
quartet,420
leader,421
surprise,422
pleasure,423
lecturer,424
gave,425
lecture.lev,426
determined,427
grace,428
commensurate,429
respect,430
revive,431
interest,432
aforementioned,433
worldwide,434
date,435
filmed,436
recorded,437
recording,438
due,439
soon,440
hyperion,441
label,442
rendition,443
perform,444
note,445
proudly.lev,446
israellev,447
able,448
lovely,449
york,450
see,451
sort,452
resurrection,453
bringing,454
surface,455
responded,456
amazingly,457
far,458
standing,459
ovation,460
everywhere,461
surely,462
rapturous,463
applause,464
rightly,465
received,466
feed,467
sound,468
rhythm,469
sensibility,470
culture,471
romanian-born,472
considered,473
core,474
mdash,475
hebrew,476
yiddish,477
arabic,478
ladino.levanon,479
wrote,480
piece,481
performs,482
six,483
eight,484
without,485
orchestra.lev,486
belief,487
particularly,488
ripe,489
resound,490
hopefully,491
change,492
mindset,493
possibly,494
difference,495
dismal,496
regional,497
affair,498
started,499
touring,500
internationally,501
saw,502
people,503
know,504
multiculturalism,505
wanted,506
reflect,507
pluralist,508
face,509
composed,510
languages,511
traditional,512
language,513
message,514
live,515
together,516
harmoniously,517
maybe,518
learn,519
real,520
thus,521
wake,522
feel,523
cross-cultural,524
creation,525
taken,526
significance,527
passing,528
everything,529
month,530
value,531
relevant,532
ever,533
information,534
http,535
/,536
www.ipo.co.il/en,537
’,538
mughrabi,539
bridge,540
news,541
spark,542
jordan,543
crisis,544
?,545
-,546
analysis,547
voice,548
linked,549
ruling,550
likud,551
party,552
claimed,553
link,554
temple,555
mount,556
area,557
near,558
western,559
wall,560
used,561
non-muslims,562
visit,563
danger,564
collapse,565
transportation,566
minister,567
mk,568
miri,569
regev,570
forbidden,571
wait,572
another,573
moment,574
demolition,575
construction,576
appropriate,577
replacement,578
concern,579
ostensibly,580
engineer,581
report,582
wood,583
constructed,584
doe,585
enable,586
safe,587
use,588
raise,589
previous,590
government,591
benjamin,592
netanyahu,593
replace,594
reinforce,595
recently,596
despite,597
decade,598
unsafe,599
potential,600
sensitive,601
holy,602
site,603
emerge,604
kingdom,605
working,606
repair,607
tie,608
status,609
quo,610
attempt,611
alter,612
met,613
protest,614
conspiracy,615
spreading,616
al-aqsa,617
kind,618
conflict,619
including,620
recent,621
gaza,622
war,623
2011,624
temporary,625
structure,626
often,627
ramp,628
neighborhood,629
existed,630
underneath,631
closed,632
safety,633
official,634
mugrabi,635
sunday,636
three,637
municipality,638
deadline,639
leading,640
plaza,641
city,642
shlomo,643
eshkol,644
warned,645
letter,646
prime,647
heritage,648
foundation,649
oversees,650
let,651
recall,652
happened,653
10,654
originally,655
november,656
28,657
destroy,658
intervened,659
stop,660
worried,661
triggering,662
riot,663
arab,664
sent,665
last,666
insisted,667
entrance,668
built,669
cancel,670
egypt,671
december,672
12,673
oddly,674
issue,675
headline,676
somehow,677
continued,678
exist,679
modification,680
2014,681
emerged,682
erected,683
less,684
officially,685
opened,686
ordered,687
dismantled,688
became,689
clear,690
project,691
approved,692
authority,693
amid,694
mounting,695
jordanian,696
collapsed,697
partially,698
2004,699
permanent,700
seen,701
threatening,702
peace,703
region,704
appears,705
forego,706
order,707
maintain,708
calm,709
call,710
remove,711
member,712
known,713
always,714
resulted,715
controversy,716
creating,717
stumbling,718
block,719
foreign,720
ayman,721
safadi,722
times,723
semblance,724
normality,725
deal,726
supply,727
water,728
naftali,729
bennett,730
outspoken,731
importance,732
sour,733
point,734
ran,735
dating,736
1990s,737
progress,738
develop,739
arava,740
valley,741
harshly,742
slammed,743
25-year,744
anniversary,745
agreement,746
demanding,747
return,748
2017,749
incident,750
security,751
guard,752
jordanians,753
killed,754
canceled,755
short,756
trip,757
uae,758
eve,759
election,760
apparently,761
nixed,762
addition,763
crown,764
prince,765
relations,766
lowest,767
critiquing,768
accusing,769
iran,770
insinuation,771
transported,772
oil,773
iraq,774
help,775
context,776
rising,777
chance,778
likely,779
cause,780
anger,781
jews,782
weekly,783
mean,784
historic,785
mosque,786
dome,787
rock,788
lead,789
complaint,790
unless,791
coordination,792
doubt,793
need,794
stretch,795
woman,796
section,797
never,798
responsibly,799
addressed,800
convenient,801
made,802
want,803
demolished,804
changed,805
removed,806
problem,807
managed,808
mowing,809
grass,810
postpone,811
addressing,812
symbol,813
management,814
meant,815
postponing,816
dealing,817
constant,818
facing,819
bedouin,820
negev,821
ignoring,822
crowding,823
meron,824
disaster,825
investigating,826
current,827
address,828
stoking,829
way,830
create,831
keen,832
whether,833
might,834
interested,835
flexible,836
usually,837
position,838
palestinians,839
wakf,840
stakeholder,841
king,842
meeting,843
us,844
president,845
july,846
19,847
perhaps,848
responsible,849
policy,850
prevail,851
‘,852
extra-judicial,853
execution,854
pa,855
protection,856
palestinian,857
accused,858
carrying,859
united,860
nations,861
provide,862
hamas,863
islamic,864
jihad,865
pij,866
meanwhile,867
step,868
resistance,869
killing,870
gunman,871
