Word,Index
hezbollah,0
launch,1
rocket,2
barrage,3
israeli,4
strike,5
kill,6
commander,7
israel-hamaswar,8
advertisement,9
around,10
215,11
launched,12
lebanon,13
northern,14
israel,15
apparent,16
response,17
",",18
army,19
radio,20
said,21
.,22
immediate,23
report,24
casualty,25
byeuan,26
ward,27
reporting,28
beirut,29
lebanese,30
militant,31
group,32
fired,33
one,34
heaviest,35
yet,36
wednesday,37
targeting,38
military,39
base,40
arm,41
factory,42
overnight,43
thatkilled,44
senior,45
commandersas,46
tension,47
rise,48
border,49
taleb,50
abdallah,51
also,52
known,53
abu,54
wa,55
among,56
highest-ranking,57
member,58
apowerful,59
militia,60
political,61
movementbacked,62
iran,63
killed,64
since,65
oct,66
7,67
hamas-led,68
attack,69
set,70
war,71
gaza,72
according,73
hamas,74
trading,75
fire,76
’,77
offensive,78
strip,79
prompted,80
mount,81
cross-border,82
support,83
intensity,84
ha,85
increased,86
month,87
official,88
threatened,89
highest,90
level,91
pursue,92
action,93
vowed,94
keep,95
fight,96
raising,97
fresh,98
concern,99
low-level,100
conflict,101
could,102
grow,103
larger,104
speaking,105
mr,106
funeral,107
southern,108
suburb,109
hashem,110
safieddine,111
leader,112
executive,113
council,114
pledged,115
would,116
double,117
wake,118
killing,119
“,120
enemy,121
message,122
retreat,123
position,124
supporting,125
oppressed,126
must,127
know,128
answer,129
final,130
”,131
increase,132
quantity,133
quality,134
operation,135
trouble,136
retrieving,137
article,138
content,139
please,140
enable,141
javascript,142
browser,143
setting,144
thank,145
patience,146
verify,147
access,148
reader,149
mode,150
exit,151
andlog,152
intoyour,153
time,154
account,155
orsubscribefor,156
already,157
subscriber,158
?,159
log,160
want,161
subscribe,162
last,163
least,164
year,165
end,166
say,167
supported,168
assessment,169
odds,170
prime,171
minister,172
benjamin,173
netanyahu,174
assertion,175
country,176
brink,177
victory,178
came,179
claimed,180
control,181
key,182
buffer,183
along,184
egypt,185
byaaron,186
boxerman,187
gabby,188
sobelman,189
erika,190
solomonandthomas,191
fuller,192
national,193
security,194
adviser,195
expected,196
continue,197
appearing,198
dismiss,199
idea,200
come,201
rafah,202
expect,203
another,204
seven,205
combat,206
order,207
shore,208
achievement,209
realize,210
define,211
destruction,212
islamic,213
jihad,214
governing,215
capability,216
tzachi,217
hanegbi,218
interview,219
kan,220
public,221
broadcaster,222
seized,223
operational,224
abuffer,225
stripalong,226
edge,227
prevent,228
smuggling,229
allow,230
palestinian,231
rearm,232
repeatedly,233
controlling,234
corridor,235
critical,236
postwar,237
rear,238
adm,239
daniel,240
hagari,241
spokesman,242
zone,243
oxygen,244
tube,245
used,246
armed,247
munition,248
gazan,249
territory,250
regular,251
basis,252
built,253
tunnel,254
near,255
egyptian,256
calculating,257
dare,258
close,259
recent,260
defense,261
told,262
protracted,263
campaign,264
although,265
progress,266
phase,267
toward,268
lower-intensity,269
fighting,270
still,271
appeared,272
earlier,273
projection,274
april,275
trapped,276
starving,277
2,278
family,279
try,280
child,281
alive,282
nan,283
u.n,284
may,285
restricting,286
aid,287
tactic,288
help,289
!,290
booked,291
nile,292
cruise,293
worry,294
safety,295
penn,296
trustee,297
meeting,298
cut,299
short,300
student,301
protest,302
term,303
‘,304
antisemitism,305
subject,306
bitter,307
debate,308
week,309
diplomatic,310
blow,311
call,312
alito,313
recusal,314
audio,315
journalism,316
storytelling,317
download,318
new,319
york,320
io,321
app,322
available,323
news,324
hosted,325
bytracy,326
mumford,327
featuringmaria,328
abi-habibandaaron,329
produced,330
byian,331
stewart,332
edited,333
byjessica,334
metzger,335
tracy,336
mumfordandjames,337
shield,338
today,339
episode,340
:,341
top,342
court,343
rule,344
assault,345
gaya,346
gupta,347
lawmaker,348
dial,349
pressure,350
recuse,351
election,352
case,353
zach,354
montague,355
trump,356
v.p,357
pageant,358
unexpectedly,359
strong,360
contender,361
tom,362
cotton,363
michael,364
c,365
bender,366
decade,367
making,368
era,369
dawn,370
n.c.a.a,371
paying,372
athlete,373
directly,374
billy,375
witz,376
haiti,377
gang,378
stronger,379
kenyan-led,380
force,381
prepares,382
deploy,383
maria,384
abi-habib,385
tune,386
tell,387
u,388
think,389
attheheadlines,390
@,391
nytimes.com,392
correction,393
emailnytnews,394
downloadthe,395
—,396
andsign,397
upfor,398
weekly,399
newsletter,400
abi-habibis,401
investigative,402
correspondent,403
latin,404
america,405
based,406
mexico,407
city.more,408
aaron,409
boxermanis,410
fellow,411
focus,412
international,413
news.more,414
left,415
power,416
vacuum,417
scant,418
planning,419
fill,420
3,421
college,422
face,423
congress,424
claim,425
head,426
rutgers,427
northwestern,428
u.c.l.a,429
first,430
university,431
testify,432
wave,433
encampment,434
roiled,435
campus,436
bysharon,437
otterman,438
ernesto,439
londoñoandnicholas,440
bogel-burroughs,441
fourth,442
six,443
republican-led,444
house,445
committee,446
education,447
workforce,448
summoning,449
school,450
washington,451
questioned,452
accusation,453
institution,454
thursday,455
three,456
diverse,457
reacted,458
pro-palestinian,459
sprung,460
lawn,461
part,462
activism,463
two,464
whose,465
made,466
deal,467
protester,468
peacefully,469
third,470
california,471
los,472
angeles,473
called,474
police,475
dismantle,476
violent,477
counterprotesters,478
night,479
caused,480
situation,481
toveer,482
representative,483
virginia,484
foxx,485
chairwoman,486
blasted,487
negotiating,488
demonstrator,489
view,490
described,491
antisemitic,492
supportive,493
terrorism,494
derided,495
chancellor,496
calling,497
late,498
saying,499
allowed,500
become,501
severe,502
pervasive,503
hostile,504
environment,505
jewish,506
clear,507
mealy-mouthed,508
spineless,509
tolerate,510
dereliction,511
duty,512
amay,513
16,514
statementannouncing,515
hearing,516
stone,517
go,518
unturned,519
building,520
defaced,521
green,522
captured,523
graduation,524
ruined,525
dispute,526
faced,527
largely,528
defended,529
taken,530
step,531
stop,532
biden,533
coerce,534
change,535
strategy,536
rescue,537
4,538
hostage,539
score,540
gazans,541
met,542
jubilation,543
rising,544
raja,545
abdulrahimandsteve,546
lohr,547
soldier,548
special,549
rescued,550
four,551
saturday,552
amid,553
heavy,554
air,555
ground,556
flew,557
back,558
helicopter,559
reunited,560
anxiety,561
fate,562
roughly,563
120,564
remaining,565
captive,566
eight,567
resident,568
town,569
nuseirat,570
held,571
reported,572
intense,573
bombardment,574
khalil,575
al-daqran,576
hospital,577
city,578
reporter,579
packed,580
wounded,581
mission,582
took,583
place,584
11,585
a.m,586
located,587
separate,588
managed,589
extract,590
officer,591
died,592
freed,593
noa,594
argamani,595
26,596
almog,597
meir,598
jan,599
22,600
andrey,601
kozlov,602
27,603
shlomi,604
ziv,605
41,606
kidnapped,607
nova,608
music,609
festival,610
"1,200",611
people,612
250,613
good,614
medical,615
condition,616
transferred,617
examination,618
authority,619
statement,620
source,621
broader,622
criticism,623
government,624
reason,625
hurry,626
wind,627
address,628
issue,629
govern,630
eurovision,631
march,632
condemn,633
outside,634
